customer_id,customer_name,customer_type,province,region,contact_person,phone,email,credit_limit_thb,is_active
CUS-0011,บริษัท ชัยภูมิค้าส่ง จำกัด,ห้างค้าปลีก,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,กิตติ ศรีสุข,0868260266,contact11@agri-buyer.co.th,1000000,Y
CUS-0012,บริษัท ไทยอุตสาหกรรม จำกัด,ห้างค้าปลีก,นครสวรรค์,ภาคเหนือ,นฤมล รุ่งโรจน์,0851158097,contact12@agri-buyer.co.th,200000,Y
CUS-0013,บริษัท รุ่งโรจน์ฟาร์ม จำกัด,ผู้ส่งออก,ตราด,ภาคตะวันออก,ลัดดา เกษตรดี,0920931407,contact13@agri-buyer.co.th,500000,Y
CUS-0014,บริษัท ทิพย์ผลไทย จำกัด,โรงงานแปรรูป,พังงา,ภาคใต้,สมชาย ทองแดง,0997625922,contact14@agri-buyer.co.th,50000,Y
CUS-0015,บริษัท ทิพย์ผลไทย จำกัด,สหกรณ์ผู้บริโภค,ปราจีนบุรี,ภาคตะวันออก,ณรงค์ เกษตรดี,0847567417,contact15@agri-buyer.co.th,1000000,Y
CUS-0016,บริษัท เหนือดีข้าว จำกัด,ผู้ส่งออก,อุทัยธานี,ภาคเหนือ,ยุทธนา ดำรง,0962715042,contact16@agri-buyer.co.th,200000,Y
CUS-0017,บริษัท วิบูลย์พืชผล จำกัด,ห้างค้าปลีก,กาญจนบุรี,ภาคกลาง,จักรกฤษณ์ เกษตรดี,0866636093,contact17@agri-buyer.co.th,200000,Y
CUS-0018,บริษัท เจ้าพระยาผล จำกัด,ตลาดค้าส่ง,ลพบุรี,ภาคกลาง,ชาญชัย สมบูรณ์,0910795519,contact18@agri-buyer.co.th,1000000,Y
CUS-0019,บริษัท ศรีไทยค้าส่ง จำกัด,ตลาดค้าส่ง,ภูเก็ต,ภาคใต้,เอกชัย ฤทธิ์ไกร,0997788248,contact19@agri-buyer.co.th,1000000,Y
CUS-0020,บริษัท วิบูลย์พืชผล จำกัด,โรงงานแปรรูป,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,พิชัย โชคดี,0892689038,contact20@agri-buyer.co.th,100000,N
CUS-0021,บริษัท ศรีไทยค้าส่ง จำกัด,สหกรณ์ผู้บริโภค,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,จักรกฤษณ์ มงคล,0886538596,contact21@agri-buyer.co.th,50000,Y
CUS-0022,บริษัท รุ่งโรจน์ฟาร์ม จำกัด,ห้างค้าปลีก,นราธิวาส,ภาคใต้,สุรศักดิ์ โชคดี,0990622361,contact22@agri-buyer.co.th,500000,Y
CUS-0023,บริษัท แม่โขงการเกษตร จำกัด,ตลาดค้าส่ง,สตูล,ภาคใต้,สมชาย ทองแดง,0828580449,contact23@agri-buyer.co.th,50000,Y
CUS-0024,บริษัท ไทยอุตสาหกรรม จำกัด,ผู้ส่งออก,พะเยา,ภาคเหนือ,นงลักษณ์ เกษตรดี,0843200764,contact24@agri-buyer.co.th,200000,Y
CUS-0025,บริษัท สุวรรณภูมิ จำกัด,ผู้ส่งออก,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,ศิริ เกษตรดี,0945269776,contact25@agri-buyer.co.th,50000,Y
CUS-0026,บริษัท วิบูลย์พืชผล จำกัด,ผู้ส่งออก,สระแก้ว,ภาคตะวันออก,นิตยา พลัง,0950829850,contact26@agri-buyer.co.th,100000,Y
CUS-0027,บริษัท เจริญผล จำกัด,ห้างค้าปลีก,นราธิวาส,ภาคใต้,ณรงค์ ทรัพย์มา,0986865571,contact27@agri-buyer.co.th,200000,Y
CUS-0028,บริษัท เหนือดีข้าว จำกัด,ห้างค้าปลีก,พะเยา,ภาคเหนือ,กิตติ ทรัพย์มา,0983918220,contact28@agri-buyer.co.th,200000,N
CUS-0029,บริษัท ธรรมชาติไทย จำกัด,ผู้ส่งออก,พะเยา,ภาคเหนือ,อนันต์ ดำรง,0918934047,contact29@agri-buyer.co.th,100000,Y
CUS-0030,บริษัท ศรีไทยค้าส่ง จำกัด,สหกรณ์ผู้บริโภค,นครปฐม,ภาคกลาง,ฉัตรชัย ดวงดี,0994592758,contact30@agri-buyer.co.th,100000,Y
CUS-0031,บริษัท สยามฟู้ด จำกัด,ผู้ส่งออก,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,นภา พลัง,0937934714,contact31@agri-buyer.co.th,50000,Y
CUS-0032,บริษัท ศรีไทยค้าส่ง จำกัด,ตลาดค้าส่ง,ฉะเชิงเทรา,ภาคตะวันออก,สุชาติ สมบูรณ์,0843199009,contact32@agri-buyer.co.th,1000000,Y
CUS-0033,บริษัท เจ้าพระยาผล จำกัด,ตลาดค้าส่ง,เชียงราย,ภาคเหนือ,กมลา มีสุข,0841259437,contact33@agri-buyer.co.th,200000,Y
CUS-0034,บริษัท รุ่งโรจน์ฟาร์ม จำกัด,ห้างค้าปลีก,สุพรรณบุรี,ภาคกลาง,ปราณี มั่งมี,0819563788,contact34@agri-buyer.co.th,200000,Y
CUS-0035,บริษัท ทองคำเขียว จำกัด,สหกรณ์ผู้บริโภค,สุรินทร์,ภาคตะวันออกเฉียงเหนือ,ณรงค์ รักษ์ดี,0911650692,contact35@agri-buyer.co.th,1000000,Y
CUS-0036,บริษัท เจริญผล จำกัด,ตลาดค้าส่ง,อุตรดิตถ์,ภาคเหนือ,ศิริ โชคดี,0889089302,contact36@agri-buyer.co.th,200000,Y
CUS-0037,บริษัท บุญเพิ่มเกษตร จำกัด,สหกรณ์ผู้บริโภค,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,บุญมา สีทอง,0974295173,contact37@agri-buyer.co.th,50000,Y
CUS-0038,บริษัท เจริญผล จำกัด,ห้างค้าปลีก,สระบุรี,ภาคกลาง,ปรียา ดำรง,0966733771,contact38@agri-buyer.co.th,100000,N
CUS-0039,บริษัท ไทยพืชผล จำกัด,ห้างค้าปลีก,อ่างทอง,ภาคกลาง,วรากร บุญมา,0945018849,contact39@agri-buyer.co.th,200000,Y
CUS-0040,บริษัท บุญเพิ่มเกษตร จำกัด,ตลาดค้าส่ง,ตรัง,ภาคใต้,ณรงค์ ดีงาม,0930675644,contact40@agri-buyer.co.th,50000,Y
CUS-0041,บริษัท บุญเพิ่มเกษตร จำกัด,ตลาดค้าส่ง,ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,มาลี ศรีสุข,0844934700,contact41@agri-buyer.co.th,1000000,Y
CUS-0042,บริษัท ไทยอุตสาหกรรม จำกัด,โรงงานแปรรูป,ตาก,ภาคเหนือ,นิตยา เจริญสุข,0827897641,contact42@agri-buyer.co.th,100000,Y
CUS-0043,บริษัท ชัยภูมิค้าส่ง จำกัด,ผู้ส่งออก,ปราจีนบุรี,ภาคตะวันออก,สมหญิง ดีงาม,0992432864,contact43@agri-buyer.co.th,200000,Y
CUS-0044,บริษัท สยามฟู้ด จำกัด,ผู้ส่งออก,พิษณุโลก,ภาคเหนือ,สุชาติ สีทอง,0818909154,contact44@agri-buyer.co.th,1000000,Y
CUS-0045,บริษัท เหนือดีข้าว จำกัด,ห้างค้าปลีก,นครพนม,ภาคตะวันออกเฉียงเหนือ,ชัยวัฒน์ มงคล,0908568189,contact45@agri-buyer.co.th,500000,Y
CUS-0046,บริษัท ศรีไทยค้าส่ง จำกัด,ผู้ส่งออก,กาญจนบุรี,ภาคกลาง,สมชาย มงคล,0993350215,contact46@agri-buyer.co.th,1000000,Y
CUS-0047,บริษัท ใต้ดีผลไม้ จำกัด,ผู้ส่งออก,น่าน,ภาคเหนือ,ณรงค์ ศรีสุข,0877802418,contact47@agri-buyer.co.th,200000,Y
CUS-0048,บริษัท เหนือดีข้าว จำกัด,ห้างค้าปลีก,บึงกาฬ,ภาคตะวันออกเฉียงเหนือ,ปิยะ รุ่งโรจน์,0977361524,contact48@agri-buyer.co.th,50000,Y
CUS-0049,บริษัท ชัยภูมิค้าส่ง จำกัด,โรงงานแปรรูป,สตูล,ภาคใต้,ปิยะ ทรัพย์มา,0946491797,contact49@agri-buyer.co.th,200000,N
CUS-0050,บริษัท ใต้ดีผลไม้ จำกัด,ตลาดค้าส่ง,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,สมชาย สีทอง,0949000400,contact50@agri-buyer.co.th,100000,Y
CUS-0051,บริษัท วิบูลย์พืชผล จำกัด,สหกรณ์ผู้บริโภค,เชียงราย,ภาคเหนือ,ปิยะ สีทอง,0946975243,contact51@agri-buyer.co.th,50000,Y
CUS-0052,บริษัท แม่โขงการเกษตร จำกัด,โรงงานแปรรูป,สระบุรี,ภาคกลาง,ปรียา วงศ์งาม,0937587317,contact52@agri-buyer.co.th,100000,Y
CUS-0053,บริษัท ธรรมชาติไทย จำกัด,สหกรณ์ผู้บริโภค,ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ,อนันต์ ศรีสุข,0848682912,contact53@agri-buyer.co.th,1000000,Y
CUS-0054,บริษัท ศรีไทยค้าส่ง จำกัด,ห้างค้าปลีก,ยะลา,ภาคใต้,ประสิทธิ์ สาระ,0980304137,contact54@agri-buyer.co.th,50000,Y
CUS-0055,บริษัท ทิพย์ผลไทย จำกัด,สหกรณ์ผู้บริโภค,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,รัตนา มั่งมี,0834417490,contact55@agri-buyer.co.th,100000,Y
CUS-0056,บริษัท อีสานค้าส่ง จำกัด,โรงงานแปรรูป,ตาก,ภาคเหนือ,ทองสุข ดีงาม,0888139728,contact56@agri-buyer.co.th,1000000,Y
CUS-0057,บริษัท รุ่งโรจน์ฟาร์ม จำกัด,สหกรณ์ผู้บริโภค,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,มณีรัตน์ ทรัพย์มา,0884915035,contact57@agri-buyer.co.th,500000,Y
CUS-0058,บริษัท เจริญผล จำกัด,โรงงานแปรรูป,สิงห์บุรี,ภาคกลาง,ปรียา เจริญสุข,0874270676,contact58@agri-buyer.co.th,200000,Y
CUS-0059,บริษัท เจ้าพระยาผล จำกัด,ห้างค้าปลีก,อยุธยา,ภาคกลาง,ชัยวัฒน์ มั่งมี,0881999460,contact59@agri-buyer.co.th,500000,Y
CUS-0060,บริษัท ทองคำเขียว จำกัด,สหกรณ์ผู้บริโภค,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,นงลักษณ์ วงศ์งาม,0837581411,contact60@agri-buyer.co.th,1000000,Y
CUS-0061,บริษัท อาหารไทย จำกัด,ผู้ส่งออก,พิษณุโลก,ภาคเหนือ,ณรงค์ มงคล,0808373636,contact61@agri-buyer.co.th,1000000,Y
CUS-0062,บริษัท ศรีไทยค้าส่ง จำกัด,ผู้ส่งออก,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,สุชาติ สีทอง,0944868473,contact62@agri-buyer.co.th,500000,Y
CUS-0063,บริษัท เหนือดีข้าว จำกัด,ตลาดค้าส่ง,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,ธวัช ดาวเรือง,0958269747,contact63@agri-buyer.co.th,200000,Y
CUS-0064,บริษัท ทองคำเขียว จำกัด,สหกรณ์ผู้บริโภค,พังงา,ภาคใต้,ปิยะ มั่งมี,0934799501,contact64@agri-buyer.co.th,50000,Y
CUS-0065,บริษัท ชัยภูมิค้าส่ง จำกัด,สหกรณ์ผู้บริโภค,อุดรธานี,ภาคตะวันออกเฉียงเหนือ,ชัยวัฒน์ รักษ์ดี,0848088918,contact65@agri-buyer.co.th,1000000,N
CUS-0066,บริษัท ใต้ดีผลไม้ จำกัด,ห้างค้าปลีก,อุบลราชธานี,ภาคตะวันออกเฉียงเหนือ,วิชัย แสงงาม,0930900442,contact66@agri-buyer.co.th,100000,Y
CUS-0067,บริษัท เกษตรก้าวหน้า จำกัด,โรงงานแปรรูป,นครปฐม,ภาคกลาง,ยุทธนา ดวงดี,0939018757,contact67@agri-buyer.co.th,200000,Y
CUS-0068,บริษัท เกษตรก้าวหน้า จำกัด,ผู้ส่งออก,สงขลา,ภาคใต้,ปรียา ชูชื่น,0827709253,contact68@agri-buyer.co.th,1000000,Y
CUS-0069,บริษัท รุ่งโรจน์ฟาร์ม จำกัด,ตลาดค้าส่ง,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,วีระ เพชรดี,0846667455,contact69@agri-buyer.co.th,500000,Y
CUS-0070,บริษัท ทองคำเขียว จำกัด,สหกรณ์ผู้บริโภค,นนทบุรี,ภาคกลาง,เกษม บุญมา,0901019987,contact70@agri-buyer.co.th,100000,Y
CUS-0071,บริษัท ทิพย์ผลไทย จำกัด,ตลาดค้าส่ง,ปทุมธานี,ภาคกลาง,บุญมา ดาวเรือง,0962191651,contact71@agri-buyer.co.th,50000,Y
CUS-0072,บริษัท สยามฟู้ด จำกัด,ห้างค้าปลีก,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,ธวัช ทองดี,0938121120,contact72@agri-buyer.co.th,200000,Y
CUS-0073,บริษัท ใต้ดีผลไม้ จำกัด,โรงงานแปรรูป,สุรินทร์,ภาคตะวันออกเฉียงเหนือ,ฉัตรชัย ฤทธิ์ไกร,0831764026,contact73@agri-buyer.co.th,100000,Y
CUS-0074,บริษัท ทิพย์ผลไทย จำกัด,ผู้ส่งออก,อยุธยา,ภาคกลาง,นิตยา พิมพา,0928586265,contact74@agri-buyer.co.th,100000,Y
CUS-0075,บริษัท เจริญผล จำกัด,ผู้ส่งออก,จันทบุรี,ภาคตะวันออก,วิชัย สมบูรณ์,0953944113,contact75@agri-buyer.co.th,1000000,Y
CUS-0076,บริษัท รุ่งโรจน์ฟาร์ม จำกัด,ผู้ส่งออก,ภูเก็ต,ภาคใต้,กมลา มีสุข,0844651920,contact76@agri-buyer.co.th,200000,N
CUS-0077,บริษัท วิบูลย์พืชผล จำกัด,ห้างค้าปลีก,ตรัง,ภาคใต้,สุรศักดิ์ มงคล,0804998277,contact77@agri-buyer.co.th,200000,N
CUS-0078,บริษัท วิบูลย์พืชผล จำกัด,ห้างค้าปลีก,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ,บุญมา วงศ์งาม,0929296876,contact78@agri-buyer.co.th,100000,Y
CUS-0079,บริษัท ชัยภูมิค้าส่ง จำกัด,สหกรณ์ผู้บริโภค,จันทบุรี,ภาคตะวันออก,ดวงดาว รุ่งโรจน์,0848824154,contact79@agri-buyer.co.th,1000000,Y
CUS-0080,บริษัท อีสานค้าส่ง จำกัด,โรงงานแปรรูป,นครพนม,ภาคตะวันออกเฉียงเหนือ,นฤมล ดำรง,0958536905,contact80@agri-buyer.co.th,50000,Y
CUS-0081,บริษัท ไทยพืชผล จำกัด,โรงงานแปรรูป,กาญจนบุรี,ภาคกลาง,สมหญิง ดวงดี,0940314257,contact81@agri-buyer.co.th,1000000,Y
CUS-0082,บริษัท ไทยพืชผล จำกัด,สหกรณ์ผู้บริโภค,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,นภา พิมพา,0965020204,contact82@agri-buyer.co.th,1000000,Y
CUS-0083,บริษัท ไทยพืชผล จำกัด,สหกรณ์ผู้บริโภค,สตูล,ภาคใต้,มาลี พิมพา,0977004356,contact83@agri-buyer.co.th,100000,Y
CUS-0084,บริษัท แม่โขงการเกษตร จำกัด,ผู้ส่งออก,ปัตตานี,ภาคใต้,เกษม เจริญสุข,0899422439,contact84@agri-buyer.co.th,50000,Y
CUS-0085,บริษัท ทิพย์ผลไทย จำกัด,โรงงานแปรรูป,ฉะเชิงเทรา,ภาคตะวันออก,วรากร มั่งมี,0958121391,contact85@agri-buyer.co.th,1000000,Y
CUS-0086,บริษัท ทิพย์ผลไทย จำกัด,ตลาดค้าส่ง,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ,ธวัช พันธ์ดี,0822499610,contact86@agri-buyer.co.th,200000,Y
CUS-0087,บริษัท ธรรมชาติไทย จำกัด,ห้างค้าปลีก,ปัตตานี,ภาคใต้,อนันต์ ใจดี,0990360691,contact87@agri-buyer.co.th,50000,Y
CUS-0088,บริษัท อาหารไทย จำกัด,สหกรณ์ผู้บริโภค,นครสวรรค์,ภาคเหนือ,วรากร มงคล,0855141661,contact88@agri-buyer.co.th,200000,Y
CUS-0089,บริษัท แม่โขงการเกษตร จำกัด,โรงงานแปรรูป,พิจิตร,ภาคเหนือ,ปรียา เพชรดี,0868084017,contact89@agri-buyer.co.th,200000,Y
CUS-0090,บริษัท ใต้ดีผลไม้ จำกัด,สหกรณ์ผู้บริโภค,ฉะเชิงเทรา,ภาคตะวันออก,สมบัติ บุญมา,0982698702,contact90@agri-buyer.co.th,500000,Y
CUS-0091,บริษัท ศรีไทยค้าส่ง จำกัด,สหกรณ์ผู้บริโภค,จันทบุรี,ภาคตะวันออก,บุญมา รักษ์ดี,0899378286,contact91@agri-buyer.co.th,1000000,Y
CUS-0092,บริษัท รุ่งโรจน์ฟาร์ม จำกัด,ตลาดค้าส่ง,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,อาทิตย์ เกษตรดี,0989379767,contact92@agri-buyer.co.th,500000,Y
CUS-0093,บริษัท เจ้าพระยาผล จำกัด,โรงงานแปรรูป,นครสวรรค์,ภาคเหนือ,จักรกฤษณ์ รักษ์ดี,0826918337,contact93@agri-buyer.co.th,100000,Y
CUS-0094,บริษัท วิบูลย์พืชผล จำกัด,สหกรณ์ผู้บริโภค,ลพบุรี,ภาคกลาง,จักรกฤษณ์ โชคดี,0989727478,contact94@agri-buyer.co.th,50000,Y
CUS-0095,บริษัท ชัยภูมิค้าส่ง จำกัด,ผู้ส่งออก,เชียงราย,ภาคเหนือ,บุญมา พันธ์ดี,0961127158,contact95@agri-buyer.co.th,500000,Y
CUS-0096,บริษัท ใต้ดีผลไม้ จำกัด,โรงงานแปรรูป,นครพนม,ภาคตะวันออกเฉียงเหนือ,มาลี ดำรง,0810134871,contact96@agri-buyer.co.th,500000,N
CUS-0097,บริษัท บุญเพิ่มเกษตร จำกัด,สหกรณ์ผู้บริโภค,ระยอง,ภาคตะวันออก,พิชัย ฤทธิ์ไกร,0960382820,contact97@agri-buyer.co.th,50000,N
CUS-0098,บริษัท เจ้าพระยาผล จำกัด,ห้างค้าปลีก,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,สมชาย ดวงดี,0976331015,contact98@agri-buyer.co.th,1000000,Y
CUS-0099,บริษัท บุญเพิ่มเกษตร จำกัด,สหกรณ์ผู้บริโภค,แพร่,ภาคเหนือ,เกษม ฤทธิ์ไกร,0862188703,contact99@agri-buyer.co.th,1000000,Y
CUS-0100,บริษัท เจริญผล จำกัด,ตลาดค้าส่ง,แพร่,ภาคเหนือ,ปรียา ใจดี,0842263757,contact100@agri-buyer.co.th,50000,N
CUS-0101,บริษัท เหนือดีข้าว จำกัด,ตลาดค้าส่ง,ระยอง,ภาคตะวันออก,ปิยะ เพชรดี,0853770409,contact101@agri-buyer.co.th,1000000,Y
CUS-0102,บริษัท ศรีไทยค้าส่ง จำกัด,ผู้ส่งออก,ตาก,ภาคเหนือ,พิชัย พลัง,0950085984,contact102@agri-buyer.co.th,1000000,Y
CUS-0103,บริษัท วิบูลย์พืชผล จำกัด,โรงงานแปรรูป,อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ,อนันต์ ดีงาม,0908436239,contact103@agri-buyer.co.th,1000000,Y
CUS-0104,บริษัท บุญเพิ่มเกษตร จำกัด,ห้างค้าปลีก,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,สมพงษ์ สีทอง,0819430961,contact104@agri-buyer.co.th,1000000,Y
CUS-0105,บริษัท ธรรมชาติไทย จำกัด,สหกรณ์ผู้บริโภค,เพชรบูรณ์,ภาคเหนือ,วีระ รุ่งโรจน์,0954321900,contact105@agri-buyer.co.th,200000,Y
CUS-0106,บริษัท ทิพย์ผลไทย จำกัด,สหกรณ์ผู้บริโภค,ราชบุรี,ภาคกลาง,จันทร์ เกษตรดี,0891176990,contact106@agri-buyer.co.th,500000,Y
CUS-0107,บริษัท ไทยพืชผล จำกัด,ห้างค้าปลีก,ลำพูน,ภาคเหนือ,สุชาติ ทองดี,0902723067,contact107@agri-buyer.co.th,100000,Y
CUS-0108,บริษัท แม่โขงการเกษตร จำกัด,ตลาดค้าส่ง,เลย,ภาคตะวันออกเฉียงเหนือ,อาทิตย์ ทองแดง,0943787964,contact108@agri-buyer.co.th,50000,Y
CUS-0109,บริษัท สุวรรณภูมิ จำกัด,โรงงานแปรรูป,นครพนม,ภาคตะวันออกเฉียงเหนือ,มาลี สุขใจ,0980844406,contact109@agri-buyer.co.th,200000,Y
CUS-0110,บริษัท อีสานค้าส่ง จำกัด,ห้างค้าปลีก,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ,อาทิตย์ ดวงดี,0954004809,contact110@agri-buyer.co.th,200000,Y
CUS-0111,บริษัท ไทยอุตสาหกรรม จำกัด,ห้างค้าปลีก,ศรีสะเกษ,ภาคตะวันออกเฉียงเหนือ,จันทร์ พลัง,0864976550,contact111@agri-buyer.co.th,200000,Y
CUS-0112,บริษัท วิบูลย์พืชผล จำกัด,โรงงานแปรรูป,ร้อยเอ็ด,ภาคตะวันออกเฉียงเหนือ,อาทิตย์ สมบูรณ์,0828639189,contact112@agri-buyer.co.th,50000,N
CUS-0113,บริษัท อาหารไทย จำกัด,สหกรณ์ผู้บริโภค,กระบี่,ภาคใต้,วีระ มีสุข,0929464295,contact113@agri-buyer.co.th,200000,Y
CUS-0114,บริษัท ธรรมชาติไทย จำกัด,สหกรณ์ผู้บริโภค,กระบี่,ภาคใต้,ทองสุข รักษ์ดี,0937206391,contact114@agri-buyer.co.th,200000,Y
CUS-0115,บริษัท บุญเพิ่มเกษตร จำกัด,ผู้ส่งออก,อุทัยธานี,ภาคเหนือ,สายฝน พิมพา,0945161291,contact115@agri-buyer.co.th,50000,Y
CUS-0116,บริษัท เจ้าพระยาผล จำกัด,โรงงานแปรรูป,ชลบุรี,ภาคตะวันออก,ลัดดา ฤทธิ์ไกร,0939104632,contact116@agri-buyer.co.th,500000,Y
CUS-0117,บริษัท ไทยอุตสาหกรรม จำกัด,ผู้ส่งออก,เชียงใหม่,ภาคเหนือ,วรากร เพชรดี,0827044289,contact117@agri-buyer.co.th,200000,Y
CUS-0118,บริษัท ศรีไทยค้าส่ง จำกัด,โรงงานแปรรูป,นครพนม,ภาคตะวันออกเฉียงเหนือ,สุชาติ แสงงาม,0872318721,contact118@agri-buyer.co.th,500000,N
CUS-0119,บริษัท สยามฟู้ด จำกัด,ตลาดค้าส่ง,ลพบุรี,ภาคกลาง,ทองสุข เจริญสุข,0856514382,contact119@agri-buyer.co.th,500000,Y
CUS-0120,บริษัท เหนือดีข้าว จำกัด,ตลาดค้าส่ง,นครปฐม,ภาคกลาง,นงลักษณ์ ดีงาม,0848288646,contact120@agri-buyer.co.th,1000000,Y
CUS-0121,บริษัท ธรรมชาติไทย จำกัด,ผู้ส่งออก,เลย,ภาคตะวันออกเฉียงเหนือ,จันทร์ สีทอง,0916022836,contact121@agri-buyer.co.th,500000,Y
CUS-0122,บริษัท อาหารไทย จำกัด,ห้างค้าปลีก,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ,นภา เจริญสุข,0934109771,contact122@agri-buyer.co.th,100000,N
CUS-0123,บริษัท อีสานค้าส่ง จำกัด,สหกรณ์ผู้บริโภค,ตรัง,ภาคใต้,ทองสุข สาระ,0867370328,contact123@agri-buyer.co.th,1000000,Y
CUS-0124,บริษัท ไทยพืชผล จำกัด,ห้างค้าปลีก,พะเยา,ภาคเหนือ,จักรกฤษณ์ รักษ์ดี,0816115892,contact124@agri-buyer.co.th,100000,Y
CUS-0125,บริษัท เจ้าพระยาผล จำกัด,ผู้ส่งออก,นครศรีธรรมราช,ภาคใต้,รัตนา บุญมา,0896895005,contact125@agri-buyer.co.th,200000,Y
CUS-0126,บริษัท อาหารไทย จำกัด,ตลาดค้าส่ง,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ,กิตติ ศรีสุข,0894245134,contact126@agri-buyer.co.th,1000000,Y
CUS-0127,บริษัท สุวรรณภูมิ จำกัด,โรงงานแปรรูป,สตูล,ภาคใต้,อาทิตย์ ชูชื่น,0980708826,contact127@agri-buyer.co.th,1000000,Y
CUS-0128,บริษัท เหนือดีข้าว จำกัด,ผู้ส่งออก,สระแก้ว,ภาคตะวันออก,สมบัติ สาระ,0924487501,contact128@agri-buyer.co.th,100000,Y
CUS-0129,บริษัท วิบูลย์พืชผล จำกัด,ห้างค้าปลีก,ลพบุรี,ภาคกลาง,สุรศักดิ์ สุขใจ,0819151280,contact129@agri-buyer.co.th,50000,Y
CUS-0130,บริษัท อีสานค้าส่ง จำกัด,ตลาดค้าส่ง,เลย,ภาคตะวันออกเฉียงเหนือ,ปรียา สาระ,0990705536,contact130@agri-buyer.co.th,200000,Y
CUS-0131,บริษัท เจ้าพระยาผล จำกัด,ตลาดค้าส่ง,ชลบุรี,ภาคตะวันออก,มณีรัตน์ พลัง,0957550076,contact131@agri-buyer.co.th,1000000,N
CUS-0132,บริษัท สยามฟู้ด จำกัด,โรงงานแปรรูป,จันทบุรี,ภาคตะวันออก,สมหญิง สมบูรณ์,0995359920,contact132@agri-buyer.co.th,100000,Y
CUS-0133,บริษัท สยามฟู้ด จำกัด,โรงงานแปรรูป,สุโขทัย,ภาคเหนือ,ปิยะ ศรีสุข,0825650007,contact133@agri-buyer.co.th,50000,N
CUS-0134,บริษัท เกษตรก้าวหน้า จำกัด,สหกรณ์ผู้บริโภค,นครศรีธรรมราช,ภาคใต้,สมหญิง เกษตรดี,0906572236,contact134@agri-buyer.co.th,1000000,Y
