sales_id,order_id,customer_id,crop_id,warehouse_id,sale_date,quantity_kg,unit_price_thb,total_amount_thb,discount_pct,payment_status,sale_channel
SAL-000066,ORD-000027,CUS-0195,CRP-009,WH-002,2023-10-30,581.95,58.16,33846.21,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000067,ORD-000028,CUS-0104,CRP-008,WH-009,2023-05-22,1676.78,72.92,122270.8,0,บางส่วน,สัญญาซื้อขาย
SAL-000068,ORD-000028,CUS-0104,CRP-006,WH-003,2023-05-22,140.95,55.88,7876.29,0,ชำระแล้ว,ตรงจากคลัง
SAL-000069,ORD-000028,CUS-0104,CRP-003,WH-005,2023-05-22,2227.3,16.77,37351.82,0,ค้างชำระ,สัญญาซื้อขาย
SAL-000070,ORD-000028,CUS-0104,CRP-012,WH-007,2023-05-22,6089.66,1.21,7368.49,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000071,ORD-000029,CUS-0036,CRP-001,WH-007,2021-12-31,1643.69,15.93,26183.98,0,ชำระแล้ว,ออนไลน์
SAL-000072,ORD-000029,CUS-0036,CRP-015,WH-009,2021-12-31,7777.0,9.64,74970.28,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000073,ORD-000030,CUS-0041,CRP-011,WH-005,2025-08-10,2429.8,116.88,283995.02,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000074,ORD-000030,CUS-0041,CRP-001,WH-015,2025-08-10,9046.23,9.09,82230.23,2,ค้างชำระ,สัญญาซื้อขาย
SAL-000075,ORD-000030,CUS-0041,CRP-014,WH-014,2025-08-10,7036.79,104.18,733092.78,0,ค้างชำระ,ตลาดกลาง
SAL-000076,ORD-000030,CUS-0041,CRP-008,WH-012,2025-08-10,1497.73,88.5,132549.11,0,ชำระแล้ว,ตลาดกลาง
SAL-000077,ORD-000031,CUS-0186,CRP-010,WH-002,2025-05-20,1356.13,197.43,267740.75,0,ชำระแล้ว,ตลาดกลาง
SAL-000078,ORD-000032,CUS-0126,CRP-003,WH-011,2024-05-17,6770.21,20.42,138247.69,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000079,ORD-000033,CUS-0054,CRP-010,WH-012,2024-05-12,319.86,161.66,51708.57,2,ค้างชำระ,สัญญาซื้อขาย
SAL-000080,ORD-000033,CUS-0054,CRP-002,WH-009,2024-05-12,3793.01,15.15,57464.1,2,ชำระแล้ว,ตรงจากคลัง
SAL-000081,ORD-000033,CUS-0054,CRP-001,WH-015,2024-05-12,6008.85,9.5,57084.08,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000082,ORD-000034,CUS-0002,CRP-002,WH-010,2025-08-26,6836.21,13.98,95570.22,0,ชำระแล้ว,ตรงจากคลัง
SAL-000083,ORD-000034,CUS-0002,CRP-007,WH-004,2025-08-26,671.08,7.79,5227.71,5,ชำระแล้ว,ออนไลน์
SAL-000084,ORD-000035,CUS-0052,CRP-013,WH-012,2024-04-01,1708.0,14.8,25278.4,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000085,ORD-000035,CUS-0052,CRP-007,WH-002,2024-04-01,309.68,8.04,2489.83,0,ชำระแล้ว,ตลาดกลาง
SAL-000086,ORD-000035,CUS-0052,CRP-010,WH-006,2024-04-01,959.17,166.92,160104.66,0,บางส่วน,สัญญาซื้อขาย
SAL-000087,ORD-000035,CUS-0052,CRP-009,WH-008,2024-04-01,1672.4,24.05,40221.22,0,ค้างชำระ,สัญญาซื้อขาย
SAL-000088,ORD-000036,CUS-0157,CRP-002,WH-015,2023-08-05,7003.92,14.69,102887.58,0,ชำระแล้ว,ออนไลน์
SAL-000089,ORD-000036,CUS-0157,CRP-001,WH-002,2023-08-05,4947.84,13.4,66301.06,0,ชำระแล้ว,ตลาดกลาง
SAL-000090,ORD-000037,CUS-0132,CRP-012,WH-013,2022-06-23,3653.56,1.46,5334.2,2,ชำระแล้ว,ตรงจากคลัง
SAL-000091,ORD-000037,CUS-0132,CRP-013,WH-009,2022-06-23,2208.95,6.93,15308.02,0,ชำระแล้ว,ตรงจากคลัง
SAL-000092,ORD-000038,CUS-0140,CRP-007,WH-012,2021-07-19,1844.45,6.56,12099.59,0,บางส่วน,สัญญาซื้อขาย
SAL-000093,ORD-000038,CUS-0140,CRP-013,WH-011,2021-07-19,1893.48,12.59,23838.91,0,ค้างชำระ,สัญญาซื้อขาย
SAL-000094,ORD-000038,CUS-0140,CRP-004,WH-006,2021-07-19,1367.89,14.0,19150.46,0,ชำระแล้ว,ตรงจากคลัง
SAL-000095,ORD-000038,CUS-0140,CRP-015,WH-004,2021-07-19,5093.13,11.42,58163.54,0,บางส่วน,ตลาดกลาง
SAL-000096,ORD-000039,CUS-0187,CRP-013,WH-011,2025-06-20,1247.16,12.51,15601.97,0,ชำระแล้ว,ตลาดกลาง
SAL-000097,ORD-000039,CUS-0187,CRP-002,WH-002,2025-06-20,7722.11,10.39,80232.72,0,ชำระแล้ว,ออนไลน์
SAL-000098,ORD-000039,CUS-0187,CRP-006,WH-008,2025-06-20,569.81,64.72,36878.1,0,ชำระแล้ว,ออนไลน์
SAL-000099,ORD-000039,CUS-0187,CRP-005,WH-007,2025-06-20,4211.86,3.55,14952.1,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000100,ORD-000040,CUS-0153,CRP-001,WH-007,2024-05-05,6966.93,13.46,93774.88,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000101,ORD-000040,CUS-0153,CRP-004,WH-012,2024-05-05,7750.21,8.72,67581.83,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000102,ORD-000040,CUS-0153,CRP-007,WH-001,2024-05-05,220.16,4.79,1054.57,0,ชำระแล้ว,ออนไลน์
SAL-000103,ORD-000040,CUS-0153,CRP-011,WH-004,2024-05-05,1007.96,97.42,98195.46,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000104,ORD-000041,CUS-0165,CRP-009,WH-012,2021-06-15,1658.19,57.37,95130.36,0,ชำระแล้ว,ออนไลน์
SAL-000105,ORD-000041,CUS-0165,CRP-003,WH-009,2021-06-15,1168.25,18.38,21472.43,0,ชำระแล้ว,ออนไลน์
SAL-000106,ORD-000041,CUS-0165,CRP-012,WH-010,2021-06-15,5365.27,1.35,7243.11,0,ค้างชำระ,สัญญาซื้อขาย
SAL-000107,ORD-000041,CUS-0165,CRP-001,WH-014,2021-06-15,5119.72,12.26,62767.77,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000108,ORD-000042,CUS-0024,CRP-002,WH-008,2025-09-05,2806.23,14.42,40465.84,0,ชำระแล้ว,ตลาดกลาง
SAL-000109,ORD-000042,CUS-0024,CRP-012,WH-005,2025-09-05,1158.16,1.21,1401.37,0,ชำระแล้ว,ตลาดกลาง
SAL-000110,ORD-000042,CUS-0024,CRP-014,WH-006,2025-09-05,1581.31,143.94,227613.76,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000111,ORD-000042,CUS-0024,CRP-003,WH-006,2025-09-05,1462.71,20.0,29254.2,0,ชำระแล้ว,ตลาดกลาง
SAL-000112,ORD-000043,CUS-0138,CRP-008,WH-006,2021-05-01,1376.63,70.02,96391.63,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000113,ORD-000043,CUS-0138,CRP-006,WH-014,2021-05-01,1157.64,90.35,104592.77,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000114,ORD-000043,CUS-0138,CRP-009,WH-013,2021-05-01,2855.4,45.83,130862.98,0,ชำระแล้ว,ออนไลน์
SAL-000115,ORD-000043,CUS-0138,CRP-013,WH-011,2021-05-01,2762.28,9.88,27291.33,0,ชำระแล้ว,ตรงจากคลัง
SAL-000116,ORD-000044,CUS-0182,CRP-011,WH-014,2022-11-29,1034.09,62.64,64775.4,0,ชำระแล้ว,ออนไลน์
SAL-000117,ORD-000044,CUS-0182,CRP-015,WH-009,2022-11-29,9241.33,11.39,105258.75,0,บางส่วน,ตรงจากคลัง
SAL-000118,ORD-000044,CUS-0182,CRP-010,WH-015,2022-11-29,2943.1,112.57,331304.77,2,ชำระแล้ว,ออนไลน์
SAL-000119,ORD-000045,CUS-0166,CRP-009,WH-001,2021-09-02,2699.84,45.84,123760.67,0,บางส่วน,สัญญาซื้อขาย
SAL-000120,ORD-000045,CUS-0166,CRP-007,WH-011,2021-09-02,936.21,5.71,5345.76,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000121,ORD-000045,CUS-0166,CRP-008,WH-010,2021-09-02,2301.8,100.21,230663.38,0,ชำระแล้ว,ออนไลน์
SAL-000122,ORD-000045,CUS-0166,CRP-012,WH-010,2021-09-02,5690.99,1.84,10471.42,0,ชำระแล้ว,ตรงจากคลัง
SAL-000123,ORD-000046,CUS-0042,CRP-003,WH-010,2024-07-25,2399.22,28.25,67777.96,0,ชำระแล้ว,ตลาดกลาง
SAL-000124,ORD-000046,CUS-0042,CRP-006,WH-007,2024-07-25,1111.92,101.18,112504.07,0,ชำระแล้ว,ตรงจากคลัง
SAL-000125,ORD-000046,CUS-0042,CRP-010,WH-015,2024-07-25,2170.12,121.81,264342.32,0,ค้างชำระ,ตรงจากคลัง
SAL-000126,ORD-000047,CUS-0125,CRP-009,WH-002,2021-06-28,77.08,51.19,3945.73,0,ชำระแล้ว,ตรงจากคลัง
SAL-000127,ORD-000047,CUS-0125,CRP-015,WH-010,2021-06-28,583.39,10.37,6049.75,0,ชำระแล้ว,ออนไลน์
SAL-000128,ORD-000047,CUS-0125,CRP-010,WH-014,2021-06-28,641.69,195.85,125674.99,0,ชำระแล้ว,ออนไลน์
SAL-000129,ORD-000048,CUS-0117,CRP-003,WH-005,2024-01-31,3677.93,17.71,65136.14,0,ชำระแล้ว,ตรงจากคลัง
SAL-000130,ORD-000048,CUS-0117,CRP-007,WH-002,2024-01-31,1615.6,6.26,10113.66,0,ชำระแล้ว,ตรงจากคลัง
SAL-000131,ORD-000048,CUS-0117,CRP-014,WH-007,2024-01-31,2733.93,153.35,419248.17,0,ชำระแล้ว,ตรงจากคลัง
SAL-000132,ORD-000049,CUS-0139,CRP-005,WH-010,2024-02-10,2943.51,3.93,11567.99,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000133,ORD-000049,CUS-0139,CRP-003,WH-003,2024-02-10,1379.5,22.63,31218.08,0,ชำระแล้ว,ตลาดกลาง
SAL-000134,ORD-000050,CUS-0007,CRP-005,WH-004,2022-02-25,2875.94,4.67,13430.64,0,ชำระแล้ว,ออนไลน์
SAL-000135,ORD-000050,CUS-0007,CRP-012,WH-015,2022-02-25,312.61,1.91,597.09,0,ชำระแล้ว,ออนไลน์
SAL-000136,ORD-000051,CUS-0080,CRP-004,WH-011,2025-05-27,7308.92,11.24,82152.26,0,ชำระแล้ว,ออนไลน์
SAL-000137,ORD-000051,CUS-0080,CRP-012,WH-010,2025-05-27,7270.15,1.44,10469.02,2,ชำระแล้ว,ตรงจากคลัง
SAL-000138,ORD-000051,CUS-0080,CRP-007,WH-005,2025-05-27,1021.3,8.11,8282.74,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000139,ORD-000051,CUS-0080,CRP-003,WH-003,2025-05-27,9866.48,27.91,275373.46,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000140,ORD-000052,CUS-0168,CRP-002,WH-003,2025-03-28,879.72,11.11,9773.69,0,บางส่วน,สัญญาซื้อขาย
SAL-000141,ORD-000052,CUS-0168,CRP-011,WH-014,2025-03-28,2076.75,111.87,232326.02,5,ชำระแล้ว,ตลาดกลาง
SAL-000142,ORD-000052,CUS-0168,CRP-014,WH-006,2025-03-28,6441.61,94.58,609247.47,0,ชำระแล้ว,ตลาดกลาง
SAL-000143,ORD-000053,CUS-0169,CRP-015,WH-001,2025-06-22,3019.2,9.41,28410.67,2,ชำระแล้ว,ตรงจากคลัง
SAL-000144,ORD-000054,CUS-0050,CRP-010,WH-011,2023-05-15,2799.33,220.58,617476.21,0,บางส่วน,ออนไลน์
SAL-000145,ORD-000054,CUS-0050,CRP-004,WH-015,2023-05-15,1352.27,10.44,14117.7,0,ชำระแล้ว,ตรงจากคลัง
SAL-000146,ORD-000055,CUS-0198,CRP-013,WH-006,2023-09-22,2949.54,7.29,21502.15,0,ชำระแล้ว,ตรงจากคลัง
SAL-000147,ORD-000055,CUS-0198,CRP-011,WH-002,2023-09-22,2450.87,65.38,160237.88,0,ชำระแล้ว,ออนไลน์
SAL-000148,ORD-000055,CUS-0198,CRP-005,WH-005,2023-09-22,1264.96,4.49,5679.67,0,ชำระแล้ว,ตลาดกลาง
SAL-000149,ORD-000055,CUS-0198,CRP-006,WH-011,2023-09-22,999.48,84.56,84516.03,0,ชำระแล้ว,ตรงจากคลัง
SAL-000150,ORD-000056,CUS-0033,CRP-012,WH-009,2021-05-20,6275.54,1.93,12111.79,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000151,ORD-000056,CUS-0033,CRP-001,WH-005,2021-05-20,5991.34,9.16,54880.67,0,ชำระแล้ว,ตลาดกลาง
SAL-000152,ORD-000057,CUS-0114,CRP-002,WH-008,2024-12-20,5716.44,15.47,88433.33,2,ชำระแล้ว,ตรงจากคลัง
SAL-000153,ORD-000057,CUS-0114,CRP-015,WH-013,2024-12-20,987.74,7.36,7269.77,0,ชำระแล้ว,ตรงจากคลัง
SAL-000154,ORD-000057,CUS-0114,CRP-010,WH-014,2024-12-20,1755.57,103.54,181771.72,0,ชำระแล้ว,ออนไลน์
SAL-000155,ORD-000058,CUS-0045,CRP-009,WH-003,2025-07-06,1688.62,53.5,90341.17,0,ชำระแล้ว,ตรงจากคลัง
SAL-000156,ORD-000058,CUS-0045,CRP-014,WH-004,2025-07-06,5968.8,97.08,579451.1,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000157,ORD-000058,CUS-0045,CRP-004,WH-012,2025-07-06,9043.58,9.19,83110.5,0,ค้างชำระ,ออนไลน์
SAL-000158,ORD-000059,CUS-0047,CRP-008,WH-006,2021-12-01,2302.79,67.92,156405.5,0,บางส่วน,สัญญาซื้อขาย
SAL-000159,ORD-000059,CUS-0047,CRP-011,WH-013,2021-12-01,2081.89,91.93,191388.15,5,ชำระแล้ว,ออนไลน์
SAL-000160,ORD-000059,CUS-0047,CRP-007,WH-006,2021-12-01,1350.32,6.88,9290.2,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000161,ORD-000060,CUS-0088,CRP-011,WH-008,2025-12-02,2606.26,95.79,249653.65,0,ชำระแล้ว,ออนไลน์
SAL-000162,ORD-000060,CUS-0088,CRP-002,WH-002,2025-12-02,697.15,14.65,10213.25,0,ชำระแล้ว,ออนไลน์
SAL-000163,ORD-000060,CUS-0088,CRP-006,WH-015,2025-12-02,1374.42,96.26,132301.67,0,ค้างชำระ,ตลาดกลาง
SAL-000164,ORD-000060,CUS-0088,CRP-004,WH-012,2025-12-02,9909.49,11.73,116238.32,0,ชำระแล้ว,ออนไลน์
SAL-000165,ORD-000061,CUS-0080,CRP-003,WH-012,2024-06-19,412.54,22.34,9216.14,0,ชำระแล้ว,ออนไลน์
SAL-000166,ORD-000061,CUS-0080,CRP-010,WH-002,2024-06-19,211.58,120.6,25516.55,0,ชำระแล้ว,ตรงจากคลัง
SAL-000167,ORD-000061,CUS-0080,CRP-005,WH-006,2024-06-19,1949.25,3.98,7758.02,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000168,ORD-000062,CUS-0034,CRP-008,WH-004,2025-07-02,123.66,79.66,9850.76,0,บางส่วน,ตลาดกลาง
SAL-000169,ORD-000062,CUS-0034,CRP-002,WH-013,2025-07-02,5571.22,9.41,52425.18,0,ชำระแล้ว,ตลาดกลาง
SAL-000170,ORD-000063,CUS-0175,CRP-002,WH-004,2022-10-14,778.65,10.67,8308.2,0,ชำระแล้ว,ออนไลน์
SAL-000171,ORD-000064,CUS-0047,CRP-008,WH-004,2022-01-26,1943.58,85.37,165923.42,0,ค้างชำระ,สัญญาซื้อขาย
SAL-000172,ORD-000064,CUS-0047,CRP-007,WH-010,2022-01-26,1788.73,5.74,10267.31,0,ชำระแล้ว,ออนไลน์
SAL-000173,ORD-000064,CUS-0047,CRP-010,WH-013,2022-01-26,2286.88,118.68,271406.92,0,ชำระแล้ว,ออนไลน์
SAL-000174,ORD-000064,CUS-0047,CRP-004,WH-013,2022-01-26,1495.61,10.03,15000.97,5,บางส่วน,สัญญาซื้อขาย
SAL-000175,ORD-000065,CUS-0107,CRP-003,WH-013,2024-09-14,8834.21,28.45,251333.27,0,ชำระแล้ว,ออนไลน์
SAL-000176,ORD-000065,CUS-0107,CRP-005,WH-004,2024-09-14,4647.17,5.16,23979.4,0,ชำระแล้ว,สัญญาซื้อขาย
SAL-000177,ORD-000065,CUS-0107,CRP-009,WH-014,2024-09-14,1429.78,38.05,54403.13,0,ชำระแล้ว,ออนไลน์
SAL-000178,ORD-000066,CUS-0159,CRP-015,WH-011,2023-12-25,1928.57,8.55,16489.27,2,ชำระแล้ว,ตลาดกลาง
SAL-000179,ORD-000066,CUS-0159,CRP-014,WH-015,2023-12-25,143.5,141.78,20345.43,0,ค้างชำระ,ตรงจากคลัง
SAL-000180,ORD-000066,CUS-0159,CRP-001,WH-002,2023-12-25,5539.7,15.53,86031.54,0,ค้างชำระ,ออนไลน์
SAL-000181,ORD-000067,CUS-0136,CRP-011,WH-009,2022-07-31,1291.85,46.03,59463.86,0,ชำระแล้ว,ตลาดกลาง
SAL-000182,ORD-000068,CUS-0188,CRP-005,WH-010,2022-08-07,2584.07,3.76,9716.1,0,ชำระแล้ว,ออนไลน์
SAL-000183,ORD-000068,CUS-0188,CRP-008,WH-010,2022-08-07,930.27,104.0,96748.08,0,ชำระแล้ว,ตลาดกลาง
SAL-000184,ORD-000068,CUS-0188,CRP-009,WH-013,2022-08-07,2958.1,47.92,141752.15,10,ชำระแล้ว,ตรงจากคลัง
