harvest_id,farmer_id,crop_id,warehouse_id,harvest_date,quantity_kg,price_per_kg,total_amount_thb,quality_grade,inspector_note
HRV-000024,FRM-0203,CRP-012,WH-001,2021-03-13,26774.08,1.32,35341.79,A,ผ่านการตรวจสอบ
HRV-000025,FRM-0226,CRP-007,WH-015,2023-05-15,915.78,4.88,4469.01,A,ต้องตรวจซ้ำ
HRV-000026,FRM-0265,CRP-015,WH-009,2022-10-27,13098.98,6.27,82130.6,A,ผ่านการตรวจสอบ
HRV-000027,FRM-0300,CRP-015,WH-003,2025-08-13,8564.41,7.35,62948.41,B,คุณภาพปานกลาง
HRV-000028,FRM-0104,CRP-015,WH-012,2024-07-09,6819.46,7.95,54214.71,A,ต้องตรวจซ้ำ
HRV-000029,FRM-0064,CRP-002,WH-007,2021-01-21,7577.4,10.62,80471.99,C,คุณภาพปานกลาง
HRV-000030,FRM-0082,CRP-007,WH-010,2025-07-02,3864.48,6.74,26046.6,C,ผ่านการตรวจสอบ
HRV-000031,FRM-0084,CRP-014,WH-005,2022-12-25,3617.83,85.17,308130.58,C,คุณภาพดี
HRV-000032,FRM-0148,CRP-011,WH-013,2022-05-05,7691.38,40.18,309039.65,A,ผ่านการตรวจสอบ
HRV-000033,FRM-0235,CRP-008,WH-004,2024-06-26,244.85,75.31,18439.65,A,คุณภาพปานกลาง
HRV-000034,FRM-0244,CRP-008,WH-015,2024-05-03,4889.49,40.26,196850.87,B,ผ่านการตรวจสอบ
HRV-000035,FRM-0286,CRP-014,WH-001,2022-11-06,911.63,99.2,90433.7,A,ผ่านการตรวจสอบ
HRV-000036,FRM-0296,CRP-014,WH-007,2025-01-11,4617.85,62.94,290647.48,A,ผ่านการตรวจสอบ
HRV-000037,FRM-0146,CRP-010,WH-001,2025-05-15,6044.81,123.22,744841.49,A,ผ่านการตรวจสอบ
HRV-000038,FRM-0166,CRP-006,WH-005,2024-02-25,2193.89,66.51,145915.62,B,ผ่านการตรวจสอบ
HRV-000039,FRM-0063,CRP-012,WH-004,2023-01-17,21860.38,1.1,24046.42,B,ผ่านการตรวจสอบ
HRV-000040,FRM-0056,CRP-010,WH-013,2025-04-16,5847.78,152.57,892195.79,C,ผ่านการตรวจสอบ
HRV-000041,FRM-0219,CRP-010,WH-015,2023-06-17,4686.11,154.79,725362.97,A,คุณภาพปานกลาง
HRV-000042,FRM-0289,CRP-008,WH-015,2025-06-21,4082.38,72.32,295237.72,B,ผ่านการตรวจสอบ
HRV-000043,FRM-0149,CRP-004,WH-012,2021-03-01,9565.27,10.19,97470.1,A,คุณภาพปานกลาง
HRV-000044,FRM-0213,CRP-007,WH-001,2021-06-12,2846.04,5.91,16820.1,C,ผ่านการตรวจสอบ
HRV-000045,FRM-0145,CRP-005,WH-001,2021-04-10,15694.0,2.99,46925.06,A,ต้องตรวจซ้ำ
HRV-000046,FRM-0171,CRP-006,WH-003,2024-12-19,3118.37,50.87,158631.48,A,ผ่านการตรวจสอบ
HRV-000047,FRM-0174,CRP-015,WH-003,2024-10-26,1193.39,6.41,7649.63,C,คุณภาพดี
HRV-000048,FRM-0275,CRP-015,WH-001,2023-10-26,16376.25,8.78,143783.47,B,ผ่านการตรวจสอบ
HRV-000049,FRM-0290,CRP-012,WH-006,2023-03-18,2898.48,1.29,3739.04,A,ผ่านการตรวจสอบ
HRV-000050,FRM-0077,CRP-005,WH-010,2021-04-13,19168.81,3.76,72074.73,B,คุณภาพดี
HRV-000051,FRM-0096,CRP-010,WH-005,2021-06-23,6890.99,165.18,1138253.73,B,ผ่านการตรวจสอบ
HRV-000052,FRM-0255,CRP-015,WH-009,2022-09-15,16674.42,6.91,115220.24,A,ผ่านการตรวจสอบ
HRV-000053,FRM-0058,CRP-006,WH-008,2021-04-03,2274.49,50.75,115430.37,B,ผ่านการตรวจสอบ
HRV-000054,FRM-0098,CRP-006,WH-003,2024-12-28,2665.78,73.27,195321.7,A,คุณภาพปานกลาง
HRV-000055,FRM-0068,CRP-004,WH-001,2021-06-13,14416.71,9.09,131047.89,A,ผ่านการตรวจสอบ
HRV-000056,FRM-0045,CRP-006,WH-005,2024-01-04,2650.83,69.77,184948.41,A,คุณภาพปานกลาง
HRV-000057,FRM-0160,CRP-011,WH-006,2022-07-07,1701.86,53.83,91611.12,B,ต้องตรวจซ้ำ
HRV-000058,FRM-0061,CRP-005,WH-009,2022-03-09,4319.35,3.94,17018.24,B,ผ่านการตรวจสอบ
HRV-000059,FRM-0106,CRP-009,WH-013,2023-09-11,2314.21,43.58,100853.27,A,คุณภาพปานกลาง
HRV-000060,FRM-0126,CRP-003,WH-001,2021-12-20,17898.74,18.32,327904.92,A,ผ่านการตรวจสอบ
HRV-000061,FRM-0242,CRP-015,WH-003,2021-07-13,1549.1,7.28,11277.45,C,คุณภาพปานกลาง
HRV-000062,FRM-0229,CRP-010,WH-011,2023-06-11,6576.05,165.55,1088665.08,B,ผ่านการตรวจสอบ
HRV-000063,FRM-0239,CRP-010,WH-002,2022-04-27,6458.33,163.83,1058068.2,B,ผ่านการตรวจสอบ
HRV-000064,FRM-0239,CRP-008,WH-015,2022-04-05,6916.55,64.68,447362.45,A,คุณภาพดี
HRV-000065,FRM-0094,CRP-012,WH-002,2023-01-15,25400.32,1.03,26162.33,A,คุณภาพดี
HRV-000066,FRM-0237,CRP-014,WH-009,2022-01-25,1873.35,94.48,176994.11,A,คุณภาพดี
HRV-000067,FRM-0055,CRP-006,WH-007,2025-11-03,3982.91,65.98,262792.4,B,คุณภาพดี
HRV-000068,FRM-0123,CRP-010,WH-014,2022-05-16,3193.77,120.89,386094.86,C,คุณภาพปานกลาง
HRV-000069,FRM-0221,CRP-013,WH-003,2024-07-26,2869.17,9.86,28290.02,C,ต้องตรวจซ้ำ
HRV-000070,FRM-0040,CRP-012,WH-009,2025-02-04,30423.83,1.23,37421.31,A,คุณภาพดี
HRV-000071,FRM-0091,CRP-005,WH-013,2024-02-20,4153.59,3.72,15451.35,B,ผ่านการตรวจสอบ
HRV-000072,FRM-0254,CRP-011,WH-015,2021-05-07,6572.86,84.36,554486.47,C,ผ่านการตรวจสอบ
HRV-000073,FRM-0076,CRP-011,WH-008,2022-08-18,2473.73,70.78,175090.61,A,ผ่านการตรวจสอบ
HRV-000074,FRM-0163,CRP-005,WH-002,2025-04-14,21815.95,3.87,84427.73,B,ผ่านการตรวจสอบ
HRV-000075,FRM-0262,CRP-007,WH-001,2022-05-02,1909.19,5.65,10786.92,A,ต้องตรวจซ้ำ
HRV-000076,FRM-0287,CRP-014,WH-007,2023-11-28,1554.6,61.87,96183.1,C,คุณภาพปานกลาง
HRV-000077,FRM-0202,CRP-011,WH-011,2023-08-13,3176.21,67.26,213631.88,A,คุณภาพดี
HRV-000078,FRM-0072,CRP-004,WH-003,2025-06-27,18527.4,10.36,191943.86,A,ต้องตรวจซ้ำ
HRV-000079,FRM-0065,CRP-003,WH-008,2021-10-21,806.3,19.77,15940.55,C,คุณภาพดี
HRV-000080,FRM-0070,CRP-002,WH-010,2022-01-28,9392.56,11.94,112147.17,B,คุณภาพปานกลาง
HRV-000081,FRM-0093,CRP-008,WH-004,2025-05-18,6596.56,55.39,365383.46,A,คุณภาพดี
HRV-000082,FRM-0004,CRP-010,WH-009,2024-05-23,4113.48,129.3,531872.96,B,ผ่านการตรวจสอบ
HRV-000083,FRM-0018,CRP-001,WH-012,2025-04-23,7687.28,10.9,83791.35,A,ผ่านการตรวจสอบ
HRV-000084,FRM-0270,CRP-014,WH-002,2023-02-17,575.53,113.39,65259.35,A,คุณภาพดี
HRV-000085,FRM-0040,CRP-011,WH-013,2025-07-20,611.64,57.18,34973.58,A,คุณภาพดี
HRV-000086,FRM-0233,CRP-009,WH-013,2024-09-24,2785.81,28.82,80287.04,A,ผ่านการตรวจสอบ
HRV-000087,FRM-0086,CRP-001,WH-011,2025-03-24,15807.92,9.3,147013.66,B,คุณภาพปานกลาง
HRV-000088,FRM-0087,CRP-010,WH-008,2021-06-26,5951.56,83.28,495645.92,A,ผ่านการตรวจสอบ
HRV-000089,FRM-0259,CRP-002,WH-005,2023-12-05,12508.06,9.38,117325.6,A,ต้องตรวจซ้ำ
HRV-000090,FRM-0058,CRP-010,WH-005,2022-05-22,3683.89,176.94,651827.5,C,ผ่านการตรวจสอบ
HRV-000091,FRM-0249,CRP-003,WH-010,2025-10-11,19689.4,21.74,428047.56,A,คุณภาพดี
HRV-000092,FRM-0212,CRP-013,WH-004,2024-04-22,3633.44,9.46,34372.34,B,ต้องตรวจซ้ำ
HRV-000093,FRM-0177,CRP-001,WH-005,2023-01-02,3768.21,9.99,37644.42,B,ต้องตรวจซ้ำ
HRV-000094,FRM-0273,CRP-004,WH-009,2024-08-23,8106.37,8.05,65256.28,B,ผ่านการตรวจสอบ
HRV-000095,FRM-0148,CRP-015,WH-001,2024-10-22,6655.93,7.59,50518.51,A,คุณภาพปานกลาง
HRV-000096,FRM-0182,CRP-014,WH-005,2024-01-11,1497.57,108.14,161947.22,C,คุณภาพปานกลาง
HRV-000097,FRM-0201,CRP-008,WH-006,2022-06-22,4792.05,47.8,229059.99,C,ต้องตรวจซ้ำ
HRV-000098,FRM-0093,CRP-006,WH-007,2025-01-22,141.53,52.04,7365.22,A,คุณภาพปานกลาง
HRV-000099,FRM-0054,CRP-011,WH-001,2024-07-08,5856.96,52.59,308017.53,A,คุณภาพปานกลาง
HRV-000100,FRM-0048,CRP-001,WH-002,2025-02-20,12942.62,11.54,149357.83,A,คุณภาพปานกลาง
HRV-000101,FRM-0067,CRP-007,WH-008,2025-03-04,3508.7,4.76,16701.41,C,ผ่านการตรวจสอบ
HRV-000102,FRM-0233,CRP-015,WH-006,2023-10-23,18116.13,8.31,150545.04,A,ผ่านการตรวจสอบ
HRV-000103,FRM-0038,CRP-005,WH-014,2021-05-13,10646.99,2.59,27575.7,A,ผ่านการตรวจสอบ
HRV-000104,FRM-0226,CRP-002,WH-002,2024-11-20,8156.37,11.23,91596.04,A,คุณภาพปานกลาง
HRV-000105,FRM-0221,CRP-004,WH-002,2025-08-04,18295.88,9.86,180397.38,A,ผ่านการตรวจสอบ
HRV-000106,FRM-0037,CRP-010,WH-011,2023-07-01,7192.8,97.86,703887.41,A,ผ่านการตรวจสอบ
HRV-000107,FRM-0200,CRP-005,WH-013,2022-04-13,17664.57,3.27,57763.14,B,คุณภาพดี
HRV-000108,FRM-0224,CRP-007,WH-014,2021-09-08,116.21,6.86,797.2,B,ผ่านการตรวจสอบ
HRV-000109,FRM-0291,CRP-009,WH-011,2023-08-22,2562.06,21.38,54776.84,A,ผ่านการตรวจสอบ
HRV-000110,FRM-0274,CRP-014,WH-011,2023-11-27,2406.27,105.99,255040.56,A,ผ่านการตรวจสอบ
HRV-000111,FRM-0284,CRP-001,WH-011,2024-02-10,14069.7,12.48,175589.86,C,ผ่านการตรวจสอบ
HRV-000112,FRM-0250,CRP-002,WH-010,2024-11-05,1196.12,8.13,9724.46,A,คุณภาพดี
HRV-000113,FRM-0200,CRP-002,WH-008,2025-12-16,10911.83,12.17,132796.97,A,ผ่านการตรวจสอบ
HRV-000114,FRM-0174,CRP-001,WH-011,2023-01-13,2804.65,12.04,33767.99,B,คุณภาพดี
HRV-000115,FRM-0275,CRP-003,WH-011,2025-11-03,1219.11,15.13,18445.13,A,คุณภาพดี
HRV-000116,FRM-0024,CRP-004,WH-014,2022-03-06,12836.9,10.62,136327.88,A,คุณภาพดี
HRV-000117,FRM-0088,CRP-014,WH-010,2025-11-27,4123.86,66.85,275680.04,B,ผ่านการตรวจสอบ
HRV-000118,FRM-0033,CRP-013,WH-011,2022-06-11,6529.86,11.88,77574.74,B,ผ่านการตรวจสอบ
HRV-000119,FRM-0062,CRP-011,WH-013,2025-06-11,6724.13,79.66,535644.2,A,คุณภาพปานกลาง
HRV-000120,FRM-0089,CRP-006,WH-012,2021-02-09,792.06,62.45,49464.15,A,คุณภาพปานกลาง
HRV-000121,FRM-0085,CRP-008,WH-011,2022-06-02,1240.29,71.64,88854.38,B,คุณภาพดี
HRV-000122,FRM-0081,CRP-001,WH-012,2024-01-01,640.87,12.63,8094.19,C,คุณภาพปานกลาง
HRV-000123,FRM-0146,CRP-007,WH-009,2024-12-05,1110.19,5.92,6572.32,B,คุณภาพดี
HRV-000124,FRM-0123,CRP-003,WH-002,2025-10-20,4010.01,18.0,72180.18,C,ผ่านการตรวจสอบ
HRV-000125,FRM-0179,CRP-007,WH-002,2021-09-08,1040.32,6.96,7240.63,B,ผ่านการตรวจสอบ
HRV-000126,FRM-0277,CRP-009,WH-001,2022-08-25,5086.42,25.2,128177.78,A,ผ่านการตรวจสอบ
HRV-000127,FRM-0077,CRP-011,WH-001,2024-08-06,1446.12,86.13,124554.32,C,ผ่านการตรวจสอบ
HRV-000128,FRM-0146,CRP-004,WH-008,2024-05-11,12527.98,10.56,132295.47,A,ผ่านการตรวจสอบ
HRV-000129,FRM-0027,CRP-015,WH-002,2025-08-06,15817.09,7.46,117995.49,A,ผ่านการตรวจสอบ
HRV-000130,FRM-0228,CRP-010,WH-006,2025-06-14,1750.26,161.22,282176.92,A,ผ่านการตรวจสอบ
HRV-000131,FRM-0167,CRP-004,WH-015,2021-04-24,8545.61,7.8,66655.76,A,ผ่านการตรวจสอบ
HRV-000132,FRM-0242,CRP-010,WH-008,2024-04-14,1330.54,191.35,254598.83,A,คุณภาพดี
HRV-000133,FRM-0192,CRP-003,WH-006,2024-11-21,7492.51,16.16,121078.96,A,ผ่านการตรวจสอบ
HRV-000134,FRM-0292,CRP-001,WH-003,2023-02-04,17107.2,10.29,176033.09,A,ผ่านการตรวจสอบ
HRV-000135,FRM-0152,CRP-010,WH-002,2022-05-19,7767.06,182.6,1418265.16,B,คุณภาพปานกลาง
HRV-000136,FRM-0251,CRP-014,WH-007,2022-02-27,2421.26,60.87,147382.1,C,ผ่านการตรวจสอบ
HRV-000137,FRM-0127,CRP-006,WH-003,2024-10-08,4469.93,67.75,302837.76,B,ผ่านการตรวจสอบ
HRV-000138,FRM-0214,CRP-001,WH-009,2021-04-24,15487.82,8.17,126535.49,B,คุณภาพดี
HRV-000139,FRM-0051,CRP-008,WH-012,2024-04-03,4556.2,40.5,184526.1,B,ผ่านการตรวจสอบ
HRV-000140,FRM-0068,CRP-006,WH-011,2023-04-21,4994.86,50.48,252140.53,A,ผ่านการตรวจสอบ
HRV-000141,FRM-0236,CRP-014,WH-012,2025-11-15,2426.05,68.32,165747.74,B,ผ่านการตรวจสอบ
HRV-000142,FRM-0190,CRP-011,WH-012,2024-05-28,5092.98,59.24,301708.14,A,คุณภาพปานกลาง
HRV-000143,FRM-0017,CRP-005,WH-013,2024-04-23,28436.77,3.31,94125.71,A,ต้องตรวจซ้ำ
HRV-000144,FRM-0042,CRP-010,WH-015,2023-04-17,7573.51,160.96,1219032.17,A,ผ่านการตรวจสอบ
HRV-000145,FRM-0197,CRP-006,WH-009,2024-10-02,1891.3,55.26,104513.24,C,ผ่านการตรวจสอบ
HRV-000146,FRM-0288,CRP-012,WH-008,2022-12-11,13454.37,1.06,14261.63,C,คุณภาพปานกลาง
HRV-000147,FRM-0108,CRP-013,WH-007,2022-05-12,7203.88,8.52,61377.06,A,ผ่านการตรวจสอบ
HRV-000148,FRM-0033,CRP-006,WH-008,2023-08-16,2557.11,74.89,191501.97,C,คุณภาพปานกลาง
HRV-000149,FRM-0273,CRP-015,WH-012,2023-10-20,7678.84,8.02,61584.3,A,ผ่านการตรวจสอบ
HRV-000150,FRM-0235,CRP-002,WH-002,2021-01-06,6123.27,12.78,78255.39,A,ผ่านการตรวจสอบ
HRV-000151,FRM-0058,CRP-012,WH-011,2022-02-05,43999.67,1.26,55439.58,A,ผ่านการตรวจสอบ
HRV-000152,FRM-0214,CRP-011,WH-011,2025-06-16,2904.26,62.19,180615.93,A,ผ่านการตรวจสอบ
HRV-000153,FRM-0097,CRP-002,WH-007,2021-11-27,18975.25,11.22,212902.31,B,ผ่านการตรวจสอบ
HRV-000154,FRM-0168,CRP-008,WH-008,2025-06-23,4335.3,61.94,268528.48,A,คุณภาพปานกลาง
HRV-000155,FRM-0068,CRP-015,WH-005,2023-08-26,5570.15,7.45,41497.62,A,ผ่านการตรวจสอบ
HRV-000156,FRM-0181,CRP-005,WH-005,2024-03-20,27799.82,3.57,99245.36,A,ผ่านการตรวจสอบ
HRV-000157,FRM-0079,CRP-003,WH-008,2022-10-02,19878.57,18.6,369741.4,A,ผ่านการตรวจสอบ
HRV-000158,FRM-0095,CRP-004,WH-003,2025-08-02,13478.29,10.91,147048.14,A,คุณภาพดี
HRV-000159,FRM-0277,CRP-003,WH-008,2025-12-04,18448.46,17.24,318051.45,A,คุณภาพดี
HRV-000160,FRM-0164,CRP-003,WH-005,2021-12-21,14256.3,17.79,253619.58,B,ต้องตรวจซ้ำ
HRV-000161,FRM-0076,CRP-013,WH-015,2025-06-11,5575.35,10.12,56422.54,A,ผ่านการตรวจสอบ
HRV-000162,FRM-0283,CRP-002,WH-006,2023-10-13,12541.68,9.1,114129.29,A,ผ่านการตรวจสอบ
HRV-000163,FRM-0029,CRP-010,WH-001,2022-05-26,7498.19,113.35,849919.84,A,คุณภาพปานกลาง
HRV-000164,FRM-0229,CRP-011,WH-009,2021-08-07,4025.63,70.16,282438.2,A,ต้องตรวจซ้ำ
HRV-000165,FRM-0185,CRP-007,WH-001,2022-12-28,2195.44,5.16,11328.47,A,ผ่านการตรวจสอบ
HRV-000166,FRM-0180,CRP-005,WH-012,2024-06-03,7255.16,3.83,27787.26,B,คุณภาพดี
HRV-000167,FRM-0148,CRP-003,WH-003,2024-01-05,16792.47,18.78,315362.59,A,ผ่านการตรวจสอบ
HRV-000168,FRM-0244,CRP-014,WH-007,2025-01-03,4679.13,95.44,446576.17,A,ผ่านการตรวจสอบ
HRV-000169,FRM-0210,CRP-011,WH-013,2023-08-06,4535.35,75.51,342464.28,A,ผ่านการตรวจสอบ
HRV-000170,FRM-0096,CRP-014,WH-005,2024-01-18,2554.81,109.37,279419.57,B,ผ่านการตรวจสอบ
HRV-000171,FRM-0253,CRP-009,WH-005,2024-07-01,6371.51,23.85,151960.51,C,ต้องตรวจซ้ำ
HRV-000172,FRM-0242,CRP-002,WH-004,2023-01-06,10091.79,11.44,115450.08,A,ผ่านการตรวจสอบ
HRV-000173,FRM-0142,CRP-008,WH-007,2021-06-24,3021.72,59.22,178946.26,A,ต้องตรวจซ้ำ
HRV-000174,FRM-0244,CRP-012,WH-005,2021-01-17,37181.95,1.01,37553.77,A,คุณภาพปานกลาง
HRV-000175,FRM-0030,CRP-003,WH-005,2023-01-23,3142.2,15.31,48107.08,A,คุณภาพดี
HRV-000176,FRM-0183,CRP-001,WH-004,2023-03-17,12959.46,8.38,108600.27,C,ผ่านการตรวจสอบ
HRV-000177,FRM-0049,CRP-010,WH-013,2022-06-28,2666.44,181.4,483692.22,A,ผ่านการตรวจสอบ
HRV-000178,FRM-0186,CRP-002,WH-005,2025-12-27,3302.49,8.68,28665.61,A,คุณภาพดี
HRV-000179,FRM-0211,CRP-006,WH-004,2022-02-07,857.32,56.63,48550.03,B,คุณภาพปานกลาง
HRV-000180,FRM-0270,CRP-014,WH-014,2025-11-14,2410.36,64.58,155661.05,A,ผ่านการตรวจสอบ
HRV-000181,FRM-0246,CRP-006,WH-010,2023-12-12,781.17,63.26,49416.81,B,ผ่านการตรวจสอบ
HRV-000182,FRM-0089,CRP-012,WH-014,2023-11-24,41099.56,1.11,45620.51,C,ผ่านการตรวจสอบ
HRV-000183,FRM-0117,CRP-005,WH-013,2022-03-05,29452.18,3.14,92479.85,A,ผ่านการตรวจสอบ
HRV-000184,FRM-0010,CRP-013,WH-011,2024-06-02,1731.54,5.23,9055.95,B,คุณภาพปานกลาง
HRV-000185,FRM-0031,CRP-008,WH-013,2021-05-02,716.73,66.7,47805.89,A,ผ่านการตรวจสอบ
HRV-000186,FRM-0106,CRP-010,WH-014,2022-05-22,2941.96,90.89,267394.74,C,ผ่านการตรวจสอบ
HRV-000187,FRM-0297,CRP-006,WH-004,2023-03-28,2553.11,71.86,183466.48,B,คุณภาพปานกลาง
HRV-000188,FRM-0035,CRP-002,WH-005,2025-10-17,4731.46,8.96,42393.88,A,คุณภาพปานกลาง
HRV-000189,FRM-0003,CRP-012,WH-012,2021-12-17,42862.25,1.24,53149.19,B,ผ่านการตรวจสอบ
HRV-000190,FRM-0226,CRP-011,WH-004,2021-06-27,2967.61,58.98,175029.64,B,ผ่านการตรวจสอบ
HRV-000191,FRM-0209,CRP-002,WH-013,2023-10-15,2651.17,8.68,23012.16,A,ต้องตรวจซ้ำ
HRV-000192,FRM-0148,CRP-009,WH-008,2021-07-11,4050.96,29.62,119989.44,B,ต้องตรวจซ้ำ
HRV-000193,FRM-0160,CRP-011,WH-007,2024-06-18,3376.8,89.25,301379.4,A,ผ่านการตรวจสอบ
HRV-000194,FRM-0244,CRP-011,WH-002,2023-06-01,7990.04,64.58,515996.78,B,คุณภาพดี
HRV-000195,FRM-0268,CRP-011,WH-002,2021-05-05,3279.53,74.75,245144.87,C,ผ่านการตรวจสอบ
HRV-000196,FRM-0034,CRP-006,WH-002,2022-06-07,3015.31,79.72,240380.51,A,คุณภาพดี
HRV-000197,FRM-0256,CRP-005,WH-007,2025-06-09,22932.79,3.7,84851.32,A,คุณภาพดี
HRV-000198,FRM-0208,CRP-008,WH-005,2025-05-05,6190.4,44.32,274358.53,B,คุณภาพดี
HRV-000199,FRM-0119,CRP-011,WH-008,2022-05-04,5954.83,81.52,485437.74,C,ผ่านการตรวจสอบ
HRV-000200,FRM-0092,CRP-007,WH-002,2025-11-11,848.41,5.87,4980.17,A,ต้องตรวจซ้ำ
HRV-000201,FRM-0267,CRP-013,WH-009,2024-06-07,2489.79,8.49,21138.32,A,คุณภาพปานกลาง
HRV-000202,FRM-0176,CRP-013,WH-007,2025-07-01,7630.13,5.22,39829.28,A,คุณภาพดี
HRV-000203,FRM-0231,CRP-006,WH-011,2024-08-15,276.31,55.31,15282.71,A,ต้องตรวจซ้ำ
HRV-000204,FRM-0085,CRP-008,WH-002,2024-04-10,5782.64,59.5,344067.08,B,ต้องตรวจซ้ำ
HRV-000205,FRM-0252,CRP-011,WH-001,2025-08-16,4585.59,47.82,219282.91,B,ผ่านการตรวจสอบ
HRV-000206,FRM-0254,CRP-010,WH-001,2024-06-25,7826.71,118.46,927152.07,B,ผ่านการตรวจสอบ
HRV-000207,FRM-0066,CRP-014,WH-015,2023-01-26,3761.87,61.61,231768.81,C,ผ่านการตรวจสอบ
HRV-000208,FRM-0195,CRP-002,WH-004,2024-12-12,8532.63,8.28,70650.18,A,ผ่านการตรวจสอบ
HRV-000209,FRM-0160,CRP-010,WH-001,2021-04-28,2578.32,120.51,310713.34,B,ผ่านการตรวจสอบ
HRV-000210,FRM-0020,CRP-008,WH-012,2024-06-17,7231.0,50.66,366322.46,B,คุณภาพปานกลาง
HRV-000211,FRM-0012,CRP-006,WH-008,2024-10-13,1679.86,52.93,88914.99,A,ต้องตรวจซ้ำ
HRV-000212,FRM-0106,CRP-006,WH-010,2024-09-26,3848.03,60.19,231612.93,A,ผ่านการตรวจสอบ
HRV-000213,FRM-0224,CRP-004,WH-014,2024-08-28,19495.09,7.3,142314.16,B,ผ่านการตรวจสอบ
HRV-000214,FRM-0148,CRP-005,WH-012,2021-04-19,12658.79,2.84,35950.96,A,ต้องตรวจซ้ำ
HRV-000215,FRM-0297,CRP-002,WH-008,2025-12-09,1811.76,12.01,21759.24,B,ผ่านการตรวจสอบ
HRV-000216,FRM-0178,CRP-013,WH-009,2021-05-17,6472.19,8.03,51971.69,A,ผ่านการตรวจสอบ
HRV-000217,FRM-0213,CRP-007,WH-003,2023-10-17,2320.82,6.29,14597.96,A,ต้องตรวจซ้ำ
HRV-000218,FRM-0265,CRP-014,WH-008,2022-02-07,3371.87,109.43,368983.73,A,ต้องตรวจซ้ำ
HRV-000219,FRM-0273,CRP-013,WH-004,2025-06-19,5867.6,5.42,31802.39,A,คุณภาพดี
HRV-000220,FRM-0076,CRP-004,WH-007,2022-08-22,15427.84,10.38,160140.98,A,ผ่านการตรวจสอบ
HRV-000221,FRM-0105,CRP-014,WH-011,2024-01-27,1577.81,69.64,109878.69,B,ผ่านการตรวจสอบ
HRV-000222,FRM-0208,CRP-004,WH-005,2021-04-07,1040.23,10.19,10599.94,B,คุณภาพดี
HRV-000223,FRM-0287,CRP-007,WH-001,2024-11-02,1089.75,4.82,5252.6,A,ผ่านการตรวจสอบ
HRV-000224,FRM-0282,CRP-003,WH-002,2021-01-26,888.22,20.88,18546.03,A,คุณภาพปานกลาง
HRV-000225,FRM-0153,CRP-014,WH-007,2021-02-12,3424.03,113.14,387394.75,C,ผ่านการตรวจสอบ
