inventory_id,warehouse_id,crop_id,snapshot_date,beginning_stock_kg,received_kg,sold_kg,ending_stock_kg,unit_cost_thb,stock_status
INV-000085,WH-001,CRP-011,2022-03-18,97093.2,6605.69,2704.04,100994.85,71.23,สูง
INV-000086,WH-001,CRP-011,2022-03-24,100994.85,5503.46,7992.62,98505.69,56.1,สูง
INV-000087,WH-001,CRP-011,2022-04-11,98505.69,2309.58,5342.99,95472.28,79.03,สูง
INV-000088,WH-001,CRP-011,2022-04-17,95472.28,1774.18,2073.54,95172.92,59.47,สูง
INV-000089,WH-001,CRP-011,2022-04-20,95172.92,1021.59,7858.65,88335.86,45.73,สูง
INV-000090,WH-001,CRP-011,2022-04-26,88335.86,6967.92,993.63,94310.15,51.01,สูง
INV-000091,WH-001,CRP-011,2022-05-11,94310.15,154.71,5328.06,89136.8,45.15,สูง
INV-000092,WH-001,CRP-011,2022-05-14,89136.8,7020.67,2633.38,93524.09,44.16,สูง
INV-000093,WH-001,CRP-011,2022-05-17,93524.09,1621.67,3437.48,91708.28,32.12,สูง
INV-000094,WH-001,CRP-011,2022-05-20,91708.28,3964.48,7287.73,88385.03,73.06,สูง
INV-000095,WH-001,CRP-011,2022-05-26,88385.03,5069.83,5234.45,88220.41,52.43,สูง
INV-000096,WH-001,CRP-011,2022-05-29,88220.41,265.68,7107.35,81378.74,60.48,สูง
INV-000097,WH-001,CRP-011,2022-06-01,81378.74,9350.02,2068.33,88660.43,79.98,สูง
INV-000098,WH-001,CRP-011,2022-06-07,88660.43,5679.24,2946.56,91393.11,46.54,สูง
INV-000099,WH-001,CRP-011,2022-06-10,91393.11,1727.78,663.48,92457.41,59.97,สูง
INV-000100,WH-001,CRP-011,2022-06-13,92457.41,2413.18,1880.58,92990.01,39.27,สูง
INV-000101,WH-001,CRP-011,2022-06-19,92990.01,8142.6,7694.52,93438.09,64.74,สูง
INV-000102,WH-001,CRP-011,2022-06-25,93438.09,4507.09,5646.6,92298.58,68.3,สูง
INV-000103,WH-001,CRP-011,2022-06-28,92298.58,4774.09,4767.11,92305.56,37.1,สูง
INV-000104,WH-001,CRP-011,2022-07-04,92305.56,2482.03,3515.83,91271.76,72.99,สูง
INV-000105,WH-001,CRP-011,2022-07-07,91271.76,5334.24,4366.36,92239.64,47.63,สูง
INV-000106,WH-001,CRP-011,2022-07-13,92239.64,9997.72,3976.8,98260.56,46.41,สูง
INV-000107,WH-001,CRP-011,2022-07-22,98260.56,6463.89,5283.35,99441.1,39.2,สูง
INV-000108,WH-001,CRP-011,2022-07-25,99441.1,611.18,3727.94,96324.34,56.31,สูง
INV-000109,WH-001,CRP-011,2022-07-28,96324.34,1686.62,3585.42,94425.54,61.38,สูง
INV-000110,WH-001,CRP-011,2022-08-03,94425.54,4727.2,2259.37,96893.37,79.92,สูง
INV-000111,WH-001,CRP-011,2022-08-09,96893.37,5059.6,6440.16,95512.81,61.04,สูง
INV-000112,WH-001,CRP-011,2022-08-15,95512.81,7986.18,4553.33,98945.66,64.65,สูง
INV-000113,WH-001,CRP-011,2022-08-18,98945.66,2821.02,1512.23,100254.45,77.09,สูง
INV-000114,WH-001,CRP-011,2022-08-21,100254.45,2007.89,6718.05,95544.29,64.32,สูง
INV-000115,WH-001,CRP-011,2022-08-24,95544.29,461.16,4157.29,91848.16,32.46,สูง
INV-000116,WH-001,CRP-011,2022-08-30,91848.16,2723.71,6963.87,87608.0,54.22,สูง
INV-000117,WH-001,CRP-011,2022-09-02,87608.0,5382.53,7468.63,85521.9,69.69,สูง
INV-000118,WH-001,CRP-011,2022-09-08,85521.9,6605.42,7362.38,84764.94,71.59,สูง
INV-000119,WH-001,CRP-011,2022-09-20,84764.94,7296.12,4523.79,87537.27,47.73,สูง
INV-000120,WH-001,CRP-011,2022-09-23,87537.27,3506.88,5947.67,85096.48,55.67,สูง
INV-000121,WH-001,CRP-011,2022-09-26,85096.48,2205.16,2707.43,84594.21,43.26,สูง
INV-000122,WH-001,CRP-011,2022-09-29,84594.21,4876.02,5258.17,84212.06,61.7,สูง
INV-000123,WH-001,CRP-011,2022-10-08,84212.06,3829.09,2812.5,85228.65,33.31,สูง
INV-000124,WH-001,CRP-011,2022-10-17,85228.65,5569.39,4898.53,85899.51,77.66,สูง
INV-000125,WH-001,CRP-011,2022-10-29,85899.51,2111.13,7869.46,80141.18,80.88,สูง
INV-000126,WH-001,CRP-011,2022-11-01,80141.18,1023.14,1547.36,79616.96,73.71,สูง
INV-000127,WH-001,CRP-011,2022-11-04,79616.96,2901.56,895.88,81622.64,34.34,สูง
INV-000128,WH-001,CRP-011,2022-11-13,81622.64,5152.5,3202.2,83572.94,80.8,สูง
INV-000129,WH-001,CRP-011,2022-11-16,83572.94,2037.68,327.27,85283.35,70.2,สูง
INV-000130,WH-001,CRP-011,2022-12-01,85283.35,6460.41,522.93,91220.83,80.16,สูง
INV-000131,WH-001,CRP-011,2022-12-04,91220.83,8356.93,4019.46,95558.3,62.12,สูง
INV-000132,WH-001,CRP-011,2022-12-07,95558.3,4590.84,768.53,99380.61,38.41,สูง
INV-000133,WH-001,CRP-011,2022-12-10,99380.61,7858.8,1686.06,105553.35,35.69,สูง
INV-000134,WH-001,CRP-011,2022-12-13,105553.35,3601.26,753.23,108401.38,42.47,สูง
INV-000135,WH-001,CRP-011,2022-12-22,108401.38,9703.89,4980.89,113124.38,57.66,สูง
INV-000136,WH-001,CRP-011,2022-12-28,113124.38,9234.19,335.16,122023.41,62.94,สูง
INV-000137,WH-001,CRP-011,2022-12-31,122023.41,4370.33,5485.26,120908.48,75.14,สูง
INV-000138,WH-001,CRP-011,2023-01-06,120908.48,3905.99,7972.16,116842.31,46.93,สูง
INV-000139,WH-001,CRP-011,2023-01-12,116842.31,8599.62,890.1,124551.83,61.29,สูง
INV-000140,WH-001,CRP-011,2023-01-18,124551.83,5822.91,1949.55,128425.19,62.82,สูง
INV-000141,WH-001,CRP-011,2023-01-27,128425.19,4851.9,1805.84,131471.25,80.35,สูง
INV-000142,WH-001,CRP-011,2023-02-02,131471.25,2246.22,6405.84,127311.63,64.65,สูง
INV-000143,WH-001,CRP-011,2023-02-11,127311.63,7143.67,6932.68,127522.62,37.97,สูง
INV-000144,WH-001,CRP-011,2023-02-14,127522.62,5049.25,7733.87,124838.0,48.56,สูง
INV-000145,WH-001,CRP-011,2023-02-20,124838.0,4163.51,5141.08,123860.43,56.18,สูง
INV-000146,WH-001,CRP-011,2023-02-23,123860.43,5701.29,3743.57,125818.15,33.85,สูง
INV-000147,WH-001,CRP-011,2023-02-26,125818.15,6510.34,6261.22,126067.27,42.92,สูง
INV-000148,WH-001,CRP-011,2023-03-01,126067.27,6183.09,1642.69,130607.67,63.22,สูง
INV-000149,WH-001,CRP-011,2023-03-04,130607.67,3151.93,6826.17,126933.43,63.86,สูง
INV-000150,WH-001,CRP-011,2023-03-10,126933.43,3394.93,631.06,129697.3,52.99,สูง
INV-000151,WH-001,CRP-011,2023-03-22,129697.3,7171.43,7826.25,129042.48,45.65,สูง
INV-000152,WH-001,CRP-011,2023-03-25,129042.48,9896.15,5647.53,133291.1,45.03,สูง
INV-000153,WH-001,CRP-011,2023-04-06,133291.1,6038.91,3758.75,135571.26,43.46,สูง
INV-000154,WH-001,CRP-011,2023-04-18,135571.26,384.96,6354.73,129601.49,61.21,สูง
INV-000155,WH-001,CRP-011,2023-04-30,129601.49,9668.28,3529.22,135740.55,59.92,สูง
INV-000156,WH-001,CRP-011,2023-05-03,135740.55,6964.13,5960.83,136743.85,35.15,สูง
INV-000157,WH-001,CRP-011,2023-05-09,136743.85,1960.31,4046.1,134658.06,42.65,สูง
INV-000158,WH-001,CRP-011,2023-05-12,134658.06,9709.21,4137.04,140230.23,51.17,สูง
INV-000159,WH-001,CRP-011,2023-05-15,140230.23,7742.09,6236.75,141735.57,76.71,สูง
INV-000160,WH-001,CRP-011,2023-05-18,141735.57,9066.39,5508.01,145293.95,49.91,สูง
INV-000161,WH-001,CRP-011,2023-05-21,145293.95,6750.71,5659.95,146384.71,33.14,สูง
INV-000162,WH-001,CRP-011,2023-05-24,146384.71,9087.38,2170.81,153301.28,58.07,สูง
INV-000163,WH-001,CRP-011,2023-05-27,153301.28,9742.26,7648.91,155394.63,70.01,สูง
INV-000164,WH-001,CRP-011,2023-05-30,155394.63,6002.2,5023.53,156373.3,56.97,สูง
INV-000165,WH-001,CRP-011,2023-06-02,156373.3,2355.06,3398.5,155329.86,34.21,สูง
INV-000166,WH-001,CRP-011,2023-06-05,155329.86,2480.89,3837.4,153973.35,79.26,สูง
INV-000167,WH-001,CRP-011,2023-06-14,153973.35,7845.98,1880.8,159938.53,76.17,สูง
INV-000168,WH-001,CRP-011,2023-06-17,159938.53,4513.08,3834.65,160616.96,41.29,สูง
INV-000169,WH-001,CRP-011,2023-06-26,160616.96,1614.37,419.91,161811.42,74.09,สูง
INV-000170,WH-001,CRP-011,2023-07-02,161811.42,9894.01,7065.95,164639.48,72.89,สูง
INV-000171,WH-001,CRP-011,2023-07-05,164639.48,7942.64,7167.1,165415.02,33.02,สูง
INV-000172,WH-001,CRP-011,2023-07-08,165415.02,3483.89,6864.2,162034.71,78.9,สูง
INV-000173,WH-001,CRP-011,2023-07-14,162034.71,2683.42,1369.36,163348.77,38.42,สูง
INV-000174,WH-001,CRP-011,2023-07-23,163348.77,9453.36,1144.43,171657.7,61.03,สูง
INV-000175,WH-001,CRP-011,2023-07-26,171657.7,3834.66,551.27,174941.09,80.59,สูง
INV-000176,WH-001,CRP-011,2023-07-29,174941.09,3073.25,4448.4,173565.94,67.81,สูง
INV-000177,WH-001,CRP-011,2023-08-01,173565.94,8784.1,7771.4,174578.64,51.23,สูง
INV-000178,WH-001,CRP-011,2023-08-10,174578.64,7226.32,2425.94,179379.02,64.39,สูง
INV-000179,WH-001,CRP-011,2023-08-16,179379.02,52.11,621.74,178809.39,55.72,สูง
INV-000180,WH-001,CRP-011,2023-08-22,178809.39,411.62,2200.84,177020.17,55.45,สูง
INV-000181,WH-001,CRP-011,2023-08-31,177020.17,7811.28,2829.25,182002.2,55.64,สูง
INV-000182,WH-001,CRP-011,2023-09-15,182002.2,3604.74,955.54,184651.4,45.47,สูง
INV-000183,WH-001,CRP-011,2023-09-18,184651.4,928.7,1385.31,184194.79,77.64,สูง
INV-000184,WH-001,CRP-011,2023-09-21,184194.79,658.74,6256.48,178597.05,39.12,สูง
INV-000185,WH-001,CRP-011,2023-09-27,178597.05,1259.99,1610.07,178246.97,53.0,สูง
INV-000186,WH-001,CRP-011,2023-09-30,178246.97,4591.15,1097.34,181740.78,65.73,สูง
INV-000187,WH-001,CRP-011,2023-10-09,181740.78,8891.27,6764.89,183867.16,78.9,สูง
INV-000188,WH-001,CRP-011,2023-10-15,183867.16,9369.11,675.7,192560.57,47.99,สูง
INV-000189,WH-001,CRP-011,2023-10-18,192560.57,9675.31,7878.79,194357.09,34.18,สูง
INV-000190,WH-001,CRP-011,2023-10-24,194357.09,439.74,7085.1,187711.73,46.76,สูง
INV-000191,WH-001,CRP-011,2023-10-27,187711.73,8314.19,1717.98,194307.94,43.51,สูง
INV-000192,WH-001,CRP-011,2023-10-30,194307.94,8971.56,6940.34,196339.16,71.35,สูง
INV-000193,WH-001,CRP-011,2023-11-02,196339.16,7930.07,2686.54,201582.69,64.8,สูง
INV-000194,WH-001,CRP-011,2023-11-05,201582.69,2028.2,4476.07,199134.82,76.13,สูง
INV-000195,WH-001,CRP-011,2023-11-08,199134.82,8946.51,5631.59,202449.74,51.76,สูง
INV-000196,WH-001,CRP-011,2023-11-17,202449.74,8139.22,4190.67,206398.29,32.27,สูง
INV-000197,WH-001,CRP-011,2023-11-29,206398.29,5778.66,3451.86,208725.09,71.12,สูง
INV-000198,WH-001,CRP-011,2023-12-02,208725.09,6787.66,6038.11,209474.64,58.7,สูง
INV-000199,WH-001,CRP-011,2023-12-08,209474.64,2679.08,2943.16,209210.56,42.08,สูง
INV-000200,WH-001,CRP-011,2023-12-14,209210.56,2115.91,3041.15,208285.32,35.48,สูง
INV-000201,WH-001,CRP-011,2023-12-23,208285.32,8805.73,3552.83,213538.22,32.88,สูง
INV-000202,WH-001,CRP-011,2023-12-26,213538.22,7670.01,434.77,220773.46,61.27,สูง
INV-000203,WH-001,CRP-011,2023-12-29,220773.46,452.17,4105.36,217120.27,80.76,สูง
INV-000204,WH-001,CRP-011,2024-01-04,217120.27,2445.4,3235.57,216330.1,74.52,สูง
INV-000205,WH-001,CRP-011,2024-01-07,216330.1,7746.21,5953.87,218122.44,32.39,สูง
INV-000206,WH-001,CRP-011,2024-01-10,218122.44,1591.52,7652.93,212061.03,65.7,สูง
INV-000207,WH-001,CRP-011,2024-01-22,212061.03,5005.91,6900.33,210166.61,79.44,สูง
INV-000208,WH-001,CRP-011,2024-01-28,210166.61,3383.77,3649.06,209901.32,35.78,สูง
INV-000209,WH-001,CRP-011,2024-01-31,209901.32,5170.28,4742.76,210328.84,62.87,สูง
INV-000210,WH-001,CRP-011,2024-02-03,210328.84,1151.13,7512.9,203967.07,47.91,สูง
INV-000211,WH-001,CRP-011,2024-02-06,203967.07,9862.34,2040.89,211788.52,39.39,สูง
INV-000212,WH-001,CRP-011,2024-02-09,211788.52,191.91,5366.96,206613.47,34.55,สูง
INV-000213,WH-001,CRP-011,2024-02-12,206613.47,3294.98,1684.81,208223.64,54.7,สูง
INV-000214,WH-001,CRP-011,2024-02-15,208223.64,6390.47,6977.87,207636.24,70.08,สูง
INV-000215,WH-001,CRP-011,2024-02-21,207636.24,6862.94,2526.93,211972.25,39.81,สูง
INV-000216,WH-001,CRP-011,2024-03-07,211972.25,8581.17,6033.02,214520.4,61.44,สูง
INV-000217,WH-001,CRP-011,2024-03-10,214520.4,9688.76,1752.94,222456.22,54.83,สูง
INV-000218,WH-001,CRP-011,2024-03-13,222456.22,9801.33,1805.9,230451.65,41.58,สูง
INV-000219,WH-001,CRP-011,2024-03-16,230451.65,6759.01,6199.62,231011.04,46.79,สูง
INV-000220,WH-001,CRP-011,2024-03-25,231011.04,1796.08,3514.19,229292.93,34.53,สูง
INV-000221,WH-001,CRP-011,2024-03-28,229292.93,2141.09,66.42,231367.6,53.98,สูง
INV-000222,WH-001,CRP-011,2024-03-31,231367.6,7730.04,2172.69,236924.95,71.47,สูง
INV-000223,WH-001,CRP-011,2024-04-03,236924.95,3672.9,1680.96,238916.89,73.0,สูง
INV-000224,WH-001,CRP-011,2024-04-06,238916.89,8277.59,3328.03,243866.45,75.63,สูง
INV-000225,WH-001,CRP-011,2024-04-09,243866.45,9344.93,2260.11,250951.27,51.79,สูง
INV-000226,WH-001,CRP-011,2024-04-18,250951.27,5957.99,1593.42,255315.84,45.64,สูง
INV-000227,WH-001,CRP-011,2024-04-21,255315.84,1990.81,1969.32,255337.33,37.89,สูง
INV-000228,WH-001,CRP-011,2024-04-30,255337.33,4051.29,2947.12,256441.5,71.19,สูง
INV-000229,WH-001,CRP-011,2024-05-03,256441.5,8562.39,1381.52,263622.37,40.71,สูง
INV-000230,WH-001,CRP-011,2024-05-06,263622.37,4185.3,2748.51,265059.16,55.48,สูง
INV-000231,WH-001,CRP-011,2024-05-12,265059.16,8242.3,4613.93,268687.53,67.16,สูง
INV-000232,WH-001,CRP-011,2024-05-15,268687.53,5059.1,7920.98,265825.65,49.37,สูง
INV-000233,WH-001,CRP-011,2024-05-21,265825.65,2453.22,281.85,267997.02,77.91,สูง
INV-000234,WH-001,CRP-011,2024-05-24,267997.02,8387.34,6219.82,270164.54,49.35,สูง
INV-000235,WH-001,CRP-011,2024-05-27,270164.54,705.4,4061.3,266808.64,67.92,สูง
INV-000236,WH-001,CRP-011,2024-05-30,266808.64,2232.47,7583.45,261457.66,39.3,สูง
INV-000237,WH-001,CRP-011,2024-06-02,261457.66,6191.71,4199.99,263449.38,42.52,สูง
INV-000238,WH-001,CRP-011,2024-06-05,263449.38,5357.3,3028.5,265778.18,69.14,สูง
INV-000239,WH-001,CRP-011,2024-06-08,265778.18,4894.2,2475.13,268197.25,49.51,สูง
INV-000240,WH-001,CRP-011,2024-06-11,268197.25,7689.83,537.75,275349.33,73.67,สูง
INV-000241,WH-001,CRP-011,2024-06-17,275349.33,4223.8,5638.15,273934.98,57.53,สูง
INV-000242,WH-001,CRP-011,2024-06-20,273934.98,6233.3,7276.45,272891.83,58.07,สูง
INV-000243,WH-001,CRP-011,2024-07-02,272891.83,4255.15,6388.69,270758.29,56.89,สูง
INV-000244,WH-001,CRP-011,2024-07-08,270758.29,4506.42,5399.49,269865.22,46.91,สูง
INV-000245,WH-001,CRP-011,2024-07-11,269865.22,4302.81,392.96,273775.07,57.15,สูง
INV-000246,WH-001,CRP-011,2024-07-14,273775.07,5076.61,4833.35,274018.33,44.16,สูง
INV-000247,WH-001,CRP-011,2024-07-23,274018.33,7487.19,5600.43,275905.09,73.07,สูง
INV-000248,WH-001,CRP-011,2024-07-26,275905.09,7603.35,546.65,282961.79,42.81,สูง
INV-000249,WH-001,CRP-011,2024-08-01,282961.79,2753.13,2945.6,282769.32,61.1,สูง
INV-000250,WH-001,CRP-011,2024-08-10,282769.32,5777.98,1667.22,286880.08,72.15,สูง
INV-000251,WH-001,CRP-011,2024-08-16,286880.08,7465.12,7875.24,286469.96,74.7,สูง
INV-000252,WH-001,CRP-011,2024-08-19,286469.96,2567.78,5378.5,283659.24,41.3,สูง
INV-000253,WH-001,CRP-011,2024-08-22,283659.24,1338.88,6518.92,278479.2,43.59,สูง
INV-000254,WH-001,CRP-011,2024-08-25,278479.2,4048.46,791.13,281736.53,44.93,สูง
INV-000255,WH-001,CRP-011,2024-08-31,281736.53,8985.0,5491.38,285230.15,66.15,สูง
INV-000256,WH-001,CRP-011,2024-09-03,285230.15,3737.6,5445.69,283522.06,44.21,สูง
INV-000257,WH-001,CRP-011,2024-09-06,283522.06,1592.99,5119.78,279995.27,38.45,สูง
INV-000258,WH-001,CRP-011,2024-09-12,279995.27,3124.08,1462.38,281656.97,51.17,สูง
INV-000259,WH-001,CRP-011,2024-09-15,281656.97,765.28,342.53,282079.72,48.21,สูง
INV-000260,WH-001,CRP-011,2024-09-18,282079.72,1195.36,1305.41,281969.67,54.81,สูง
INV-000261,WH-001,CRP-011,2024-09-27,281969.67,3511.16,4513.88,280966.95,36.73,สูง
INV-000262,WH-001,CRP-011,2024-09-30,280966.95,2435.69,7013.06,276389.58,34.15,สูง
INV-000263,WH-001,CRP-011,2024-10-03,276389.58,5771.79,19.1,282142.27,34.02,สูง
INV-000264,WH-001,CRP-011,2024-10-06,282142.27,4500.9,1604.67,285038.5,45.28,สูง
INV-000265,WH-001,CRP-011,2024-10-12,285038.5,9679.47,2823.34,291894.63,34.51,สูง
INV-000266,WH-001,CRP-011,2024-10-15,291894.63,1650.07,5989.36,287555.34,58.08,สูง
INV-000267,WH-001,CRP-011,2024-10-18,287555.34,392.14,6875.24,281072.24,65.07,สูง
